trade_date,per,normcjl,normcje,normccl,q,iv
20220811,0.246305419,-0.251160278,-0.00647896,-0.556779919,-0.038006549,0.204879761
20220811,0.196180556,-0.439188562,-0.031331937,-0.685213615,-0.02330199,0.22845459
20220811,0.182883523,-0.474576952,-0.037639278,-0.722434643,-0.059198195,0.250976563
20220812,-0.5,-0.44633722,-0.039334645,-0.179197967,0.010738989,0.418701172
20220812,0.054621849,-0.415309004,-0.028010561,-0.592880087,-0.024557108,0.206542969
20220812,0.06244796,-0.462510424,-0.035200669,-0.697500783,-0.025812619,0.238342285
20220812,0.052595156,-0.478041431,-0.038380887,-0.724063063,-0.018494342,0.260131836
20220815,-2,-0.453215479,-0.039341034,-0.184315859,0.011506863,0.462890625
20220815,-0.044724771,-0.436433878,-0.031653288,-0.585583919,-0.049133995,0.209197998
20220815,-0.029857398,-0.463676517,-0.03546013,-0.690712175,-0.053627624,0.239990234
20220815,-0.015779817,-0.471653269,-0.036590085,-0.725924114,-0.035136952,0.268798828
20220816,-1,-0.440574354,-0.039340206,-0.20434331,0.021534496,0.502441406
20220816,-0.135423197,-0.436771876,-0.032321409,-0.580148803,-0.019105673,0.197998047
20220816,-0.109090909,-0.460043038,-0.034957801,-0.700080877,-0.014422655,0.239379883
20220816,-0.084850833,-0.478142831,-0.038444524,-0.72634708,-0.030859967,0.27734375
20220817,0,-0.445695023,-0.039341207,-0.193642264,0.012261933,0.523925781
20220817,0.082199546,-0.403732572,-0.027362379,-0.60423673,-0.042866037,0.218383789
20220817,0.062279152,-0.462172426,-0.035464155,-0.70568518,-0.048603756,0.243896484
20220817,0.046326457,-0.476486641,-0.038103126,-0.726622008,-0.046959728,0.293579102
20220818,0,-0.464977809,-0.039343231,-0.193007815,0.012678337,0.588378906
20220818,-0.158719346,-0.367735786,-0.023561123,-0.5983575,0.0286514,0.218017578
20220818,-0.088754413,-0.461530229,-0.035572509,-0.702259154,-0.012890189,0.235839844
20220818,-0.073523503,-0.460600735,-0.034455295,-0.722899905,-0.028321777,0.271484375
20220819,0,-0.464504612,-0.039343187,-0.183681409,0.012566083,0.649902344
20220819,-0.027855153,-0.403005877,-0.028202529,-0.617412128,0.003649389,0.228790283
20220819,-0.002056555,-0.459012144,-0.035139085,-0.717274455,-0.046230563,0.267089844
20220819,-0.034482759,-0.479866621,-0.038923285,-0.725987559,-0.01247102,0.289306641
20220822,0,-0.475759945,-0.039344228,-0.185204088,0.086223103,0
20220822,0.026019691,-0.39570512,-0.027617165,-0.619484663,0.02391725,0.303466797
20220822,0.015625,-0.46822259,-0.036877012,-0.716809192,0.017177632,0.368408203
20220822,0.028885273,-0.478970926,-0.0387329,-0.727129568,0.016972947,0.457275391
20220823,0,-0.478109031,-0.039344446,-0.19093528,0.567064063,0
20220823,-0.150897227,-0.389469057,-0.028484638,-0.640654122,0.023752775,0.348632813
20220823,-0.146783626,-0.477720333,-0.038691578,-0.724782105,0.023552873,0.48046875
20220823,-0.124100719,-0.477720333,-0.038513726,-0.729138657,0.023352971,0.602539063
20220824,0,-0.478007632,-0.039344436,-0.193959489,0,0.5
20220824,-0.394623656,-0.371419964,-0.028236098,-0.65283555,0,0.25
20220824,-0.279943303,-0.456679958,-0.035795107,-0.709132355,0,0.75
20220824,-0.178202479,-0.465028509,-0.036183022,-0.712685271,0,0.25
20220919,-0.012231126,-0.478447029,-0.038610829,-0.734002769,-0.023298625,0.207702637
20220920,-0.06151888,-0.470875874,-0.037000678,-0.723682393,-0.03880576,0.212051392
20220921,-0.08710138,-0.47494875,-0.037994414,-0.721313782,-0.027800716,0.214477539
20220922,-0.061594203,-0.457153155,-0.034945725,-0.706827189,-0.034121686,0.209236145
20220923,-0.040987914,-0.444444431,-0.032606471,-0.707525083,-0.016507761,0.208679199
20220923,-0.047013977,-0.471670169,-0.037116924,-0.726791195,-0.018021189,0.21723938
20220926,-0.047835991,-0.436602877,-0.031381844,-0.691071697,-0.024571744,0.21844101
20220926,-0.036036036,-0.470436477,-0.036884245,-0.716555412,-0.033986668,0.226829529
20220927,0.074018127,-0.416525796,-0.028224548,-0.645856607,-0.031520883,0.21156311
20220927,0.080882353,-0.467073396,-0.036216304,-0.710253215,-0.026628909,0.228240967
20220928,-0.100811124,-0.443464237,-0.032960602,-0.627224945,-0.041071095,0.214881897
20220928,-0.07795203,-0.465687605,-0.036006559,-0.695132173,-0.033464637,0.224998474
20220929,-0.143200963,-0.423387156,-0.029472687,-0.620246002,-0.019454985,0.202140808
20220929,-0.071802187,-0.461192231,-0.035049687,-0.690394951,-0.014034113,0.216598511
20220930,-0.046987952,-0.443498036,-0.033124799,-0.623439397,-0.020099567,0.199317932
20220930,-0.042240152,-0.454871669,-0.033827434,-0.683183377,-0.0114958,0.212303162
20221010,-0.555125725,-0.329187115,-0.02162306,-0.571435699,-0.013967784,0.216674805
20221010,-0.42585034,-0.418317186,-0.02905058,-0.667660516,-0.017708367,0.232208252
20221011,-0.097264438,-0.169263364,-0.010053539,-0.522900324,-0.062074437,0.208244324
20221011,-0.086182336,-0.420345174,-0.031172618,-0.651630096,-0.045350864,0.220375061
20221011,0.001444391,-0.475979644,-0.038236099,-0.730386408,-0.036330339,0.221469879
20221012,0.082331175,1.305269787,0.083545953,-0.357393639,-0.041102057,0.204040527
20221012,0.076470588,-0.007227125,0.010343393,-0.561770921,-0.039317259,0.216766357
20221012,0.083674397,-0.440574354,-0.03169274,-0.691367773,-0.030808978,0.224761963
20221013,-0.209189843,0.593868508,0.044748368,-0.212950672,-0.034448163,0.207672119
20221013,-0.148412698,-0.279923907,-0.015672351,-0.566254363,-0.045613122,0.222671509
20221013,-0.107532468,-0.44459653,-0.032669544,-0.707609676,-0.025364158,0.22631073
20221014,0.245053272,0.546261491,0.078937978,-0.317106106,-0.022806156,0.198776245
20221014,0.204283361,-0.279095812,-0.007258289,-0.58983473,-0.056580993,0.214416504
20221014,0.158671587,-0.466921297,-0.036084952,-0.70769427,-0.024030188,0.222625732
20221014,0.147361206,-0.480829915,-0.03910919,-0.735504299,-0.03152302,0.235084534
20221017,-0.006354249,-0.084831465,0.004901148,-0.393176582,0.008029652,0.209762573
20221017,0.039316239,-0.397074012,-0.026157452,-0.617919688,-0.012291674,0.230041504
20221017,0.018310445,-0.47325876,-0.037500879,-0.710253215,-0.014140325,0.220718384
20221017,0.009078212,-0.479156825,-0.038683299,-0.734277697,-0.019243189,0.236854553
20221018,-0.255605381,-0.083682271,0.005929128,-0.407155616,-0.010122927,0.195861816
20221018,-0.179422836,-0.420193075,-0.029649693,-0.612844093,-0.001594279,0.213287354
20221018,-0.098404255,-0.474813551,-0.037860812,-0.709513024,-0.028794194,0.212341309
20221018,-0.11249542,-0.476368341,-0.037989164,-0.731676455,-0.026684693,0.23084259
20221019,-0.7,0.477968996,0.031323829,-0.213754308,-0.033941736,0.189888
20221019,-0.363716814,-0.350886586,-0.024216439,-0.620986193,-0.068792328,0.211791992
20221019,-0.272727273,-0.47319116,-0.037864899,-0.707271303,-0.013992078,0.209312439
20221019,-0.188509874,-0.475726145,-0.038032832,-0.72998459,-0.020317432,0.223167419
20221020,0.003571429,3.061101769,0.153447777,0.134537232,-0.048422574,0.205459595
20221020,-0.07523511,0.287777525,0.034136936,-0.548193705,0.042213405,0.218276978
20221020,-0.020556227,-0.462848422,-0.036371983,-0.700038581,-0.011056572,0.217586517
20221020,-0.028529981,-0.465298907,-0.036114809,-0.72372469,-0.000739308,0.225875854
20221021,-0.463768116,2.316999184,0.083119949,0.409338391,-0.016718541,0.212509155
20221021,-0.268711656,0.100290037,0.008287303,-0.522540803,-0.011185347,0.223739624
20221021,-0.146179402,-0.456882757,-0.035730602,-0.690944807,-0.011953839,0.215049744
20221021,-0.114847387,-0.47146737,-0.037449394,-0.718479908,-0.011759587,0.223823547
20221024,-5.379310345,5.575198451,0.060179986,1.388251429,0.546367952,0.376464844
20221024,-2.90625,3.83450878,0.103280411,0.346760537,0.703754381,0.390777588
20221024,-0.697963801,-0.056642432,0.001189228,-0.486229152,0.051229821,0.259319305
20221024,-0.516413131,-0.316883988,-0.018317203,-0.640400343,0.025922186,0.269683838
20221025,-5.555555556,2.19292012,-0.030342948,1.092999854,-0.116980867,0.323425293
20221025,-1.96969697,4.324470673,0.029093202,0.377573627,-0.057300127,0.273498535
20221025,-0.044864227,0.32220262,0.030305434,-0.29238373,-0.017283564,0.236011505
20221025,-0.008347245,-0.240310542,-0.010688874,-0.582559711,-0.030047603,0.24200058
20221025,0.013333333,-0.441436249,-0.03310314,-0.709280393,-0.015422003,0.255710602
20221026,-7,0.959007742,-0.038273972,0.990916955,0,0.5
20221026,-66,4.314415232,0.009832175,0.222471911,0,0.5
20221026,-0.069050555,0.5446729,0.047500638,-0.131973788,0.00997553,0.219787598
20221026,-0.067183463,-0.147276594,0.000773236,-0.543287297,0.00693758,0.227081299
20221026,-0.05365223,-0.394674226,-0.025471664,-0.694688058,0.009247731,0.233043671
20221027,-0.334293948,1.283215418,0.095543764,0.055548289,-0.00933142,0.216999054
20221027,-0.285855589,0.012968255,0.014666308,-0.471954042,-0.001875024,0.223716736
20221027,-0.171830986,-0.388590262,-0.025477392,-0.682422037,-0.015084601,0.23519516
20221028,-0.375,3.378414286,0.158233462,0.799757368,-0.028063381,0.227455139
20221028,-0.362984218,1.323149881,0.099274263,-0.136626417,-0.024788414,0.232501984
20221028,-0.27184466,0.024882684,0.014537693,-0.55113332,-0.022698,0.245765686
20221028,-0.197375615,-0.395198123,-0.024058833,-0.707673121,-0.021479975,0.266212463
20221031,-0.198142415,3.101982626,0.076598757,1.44860871,-0.001846698,0.248634338
20221031,-0.132692308,2.864217937,0.133766431,0.473586961,0.005944472,0.253276825
20221031,-0.178481013,1.006986557,0.077011472,-0.240951037,0.011016461,0.261268616
20221031,-0.161417323,-0.393356034,-0.026191004,-0.692192557,0.002105137,0.278518677
20221031,-0.110426297,-0.415190704,-0.026802037,-0.701709297,0.011259598,0.293487549
20221101,0.501981506,5.276492724,0.245806573,0.971523953,-0.016578822,0.222206116
20221101,0.450945095,3.272874412,0.235541684,0.194006284,-0.020358046,0.22713089
20221101,0.419016393,0.95081129,0.110680235,-0.323894714,-0.013251532,0.243774414
20221101,0.337882548,-0.411996623,-0.02682944,-0.693186528,0.00778315,0.276626587
20221101,0.280479452,-0.450562194,-0.032162046,-0.71181819,-0.008940064,0.286468506
20221102,0.181708785,2.716614213,0.195666069,0.501714215,0.002987568,0.209781647
20221102,0.176085176,0.933522693,0.109464895,0.065720627,0.004046062,0.222419739
20221102,0.152265861,-0.126624917,0.012448397,-0.386810941,0.005812535,0.236053467
20221102,0.111923077,-0.449936898,-0.03202229,-0.697373894,0.007221928,0.272033691
20221102,0.106294155,-0.467394495,-0.035393452,-0.713488907,-0.009411082,0.298126221
20221103,-0.219110379,1.797361067,0.099914206,0.794427993,0.003315549,0.205928802
20221103,-0.1875,0.310981087,0.034266444,0.122778771,-0.006739903,0.212863922
20221103,-0.111597374,-0.288238658,-0.01376245,-0.399415334,-0.001745914,0.22681427
20221103,-0.100869565,-0.468695787,-0.036539446,-0.702343747,-0.000786607,0.261962891
20221103,-0.067995728,-0.479106125,-0.038659286,-0.712558381,-0.01911136,0.279418945
20221104,0.49669967,2.362831712,0.229476975,0.331364567,-0.012790548,0.214500427
20221104,0.419975933,0.26323887,0.059576303,-0.072356698,-0.016896717,0.229278564
20221104,0.368372093,-0.133891873,0.022325214,-0.505135743,-0.030954097,0.245040894
20221104,0.241423948,-0.459299443,-0.033210027,-0.709280393,-0.000868652,0.286895752
20221104,0.194444444,-0.462966721,-0.033342324,-0.716217039,-0.000378523,0.312164307
20221107,0.138888889,0.488244135,0.071705989,0.194788772,0.00547678,0.227645874
20221107,0.121598147,-0.181160893,0.007155195,-0.126729007,-0.009356834,0.243087769
20221107,0.068886861,-0.369459576,-0.01676411,-0.524719079,0.00029693,0.258575439
20221107,0.055835962,-0.469168984,-0.03567911,-0.711839339,0.005095936,0.30670166
20221107,0.055283224,-0.478159731,-0.038151079,-0.716365077,0.000238127,0.335021973
20221108,-0.144665461,0.185330332,0.028442845,0.156912146,-0.017229729,0.216438293
20221108,-0.123146357,-0.308265039,-0.014049104,-0.137810722,-0.019528493,0.22518158
20221108,-0.079862812,-0.403715672,-0.024514685,-0.546861361,-0.029614825,0.248535156
20221108,-0.068461283,-0.477044337,-0.038049839,-0.712050822,-0.012791432,0.304077148
20221108,-0.064571429,-0.478937126,-0.038423522,-0.714842399,-0.00827237,0.326538086
20221109,-0.213203463,0.140562498,0.018546444,0.14295426,-0.004589202,0.211578369
20221109,-0.161481481,-0.306524349,-0.015938022,-0.140031295,0.000306291,0.221237183
20221109,-0.113124657,-0.406977353,-0.025974477,-0.566508143,-5.84E-05,0.237991333
20221109,-0.096762718,-0.477247136,-0.038160219,-0.712368046,-0.008151298,0.288818359
20221109,-0.079408213,-0.475607846,-0.037415756,-0.716090149,-0.014825735,0.2890625
20221110,0.130434783,0.970212375,0.079961553,0.199631735,0.000682671,0.213348389
20221110,0.100647017,-0.111212208,0.005877424,-0.195735947,-0.009864329,0.226768494
20221110,0.098185699,-0.354908762,-0.018558385,-0.563293599,-0.020407368,0.245117188
20221110,0.05659051,-0.478058331,-0.038430835,-0.711226038,-0.012097864,0.308227539
20221110,0.048450196,-0.474069955,-0.037053181,-0.715286513,0.003369107,0.32043457
20221111,-0.034246575,0.74872229,0.139916518,-0.018217021,-0.004236021,0.246231079
20221111,0.017728797,0.084944928,0.068393583,-0.416883839,-0.008140025,0.260452271
