,trade_date,ts_code,price,open,settle,close,high,low,vol,amount,oi
1793,20170718,10000955.SH,2.75,0.031,0.0287,0.0287,0.0368,0.0241,42566.0,1286.9397,43941.0
1794,20170719,10000955.SH,2.75,0.0281,0.0401,0.0401,0.0411,0.0281,51669.0,1814.1289,50096.0
1795,20170720,10000955.SH,2.75,0.0405,0.0445,0.0445,0.0468,0.0395,36215.0,1544.2654,51856.0
1796,20170721,10000955.SH,2.75,0.043,0.0298,0.0298,0.0453,0.0276,33480.0,1259.1794,54957.0
1797,20170724,10000955.SH,2.75,0.0286,0.0345,0.0345,0.0384,0.0269,44018.0,1492.1775,64968.0
1798,20170725,10000955.SH,2.75,0.0349,0.0234,0.0234,0.0383,0.0229,42824.0,1351.1793,74088.0
1799,20170726,10000955.SH,2.75,0.0244,0.0239,0.0239,0.031,0.0178,53098.0,1242.9705,86445.0
1800,20170727,10000955.SH,2.75,0.0227,0.0237,0.0237,0.027,0.02,58887.0,1360.4151,99628.0
1801,20170728,10000955.SH,2.75,0.0228,0.024,0.024,0.0258,0.0208,44591.0,1045.9453,108706.0
1802,20170731,10000955.SH,2.75,0.0243,0.023,0.023,0.0264,0.0202,42428.0,1000.6756,114546.0
1803,20170801,10000955.SH,2.75,0.0229,0.0358,0.0358,0.036,0.0225,62093.0,1881.4852,111360.0
1804,20170802,10000955.SH,2.75,0.0385,0.0352,0.0352,0.0435,0.0345,109458.0,4307.0879,123891.0
1805,20170803,10000955.SH,2.75,0.0352,0.0184,0.0184,0.0396,0.0178,84840.0,2371.2697,130762.0
1806,20170804,10000955.SH,2.75,0.0184,0.0119,0.0119,0.0217,0.0117,65385.0,1156.8185,140992.0
1807,20170807,10000955.SH,2.75,0.0113,0.0117,0.0117,0.0143,0.0096,49711.0,586.5865,139167.0
1808,20170808,10000955.SH,2.75,0.0118,0.0114,0.0114,0.0131,0.0087,46018.0,506.1157,136057.0
1809,20170809,10000955.SH,2.75,0.0114,0.0052,0.0052,0.0116,0.0049,49148.0,408.4513,133426.0
1810,20170810,10000955.SH,2.75,0.005,0.0046,0.0046,0.0083,0.0028,63883.0,320.4767,125393.0
1811,20170811,10000955.SH,2.75,0.0038,0.0022,0.0022,0.0047,0.002,46724.0,153.1406,114859.0
1812,20170814,10000955.SH,2.75,0.0024,0.0012,0.0012,0.0024,0.0011,26926.0,46.1286,106481.0
1813,20170815,10000955.SH,2.75,0.0012,0.0013,0.0013,0.0026,0.0012,25580.0,48.7002,101543.0
1814,20170816,10000955.SH,2.75,0.0014,0.0009,0.0008,0.0014,0.0007,8479.0,7.7133,98891.0
1815,20170817,10000955.SH,2.75,0.0009,0.0007,0.0007,0.0015,0.0006,8491.0,7.8635,94978.0
1816,20170818,10000955.SH,2.75,0.0006,0.0007,0.0007,0.0009,0.0004,11644.0,7.442,89892.0
1817,20170821,10000955.SH,2.75,0.0008,0.0001,0.0001,0.0013,0.0001,19135.0,8.9854,79046.0
1818,20170822,10000955.SH,2.75,0.0004,0.0001,0.0001,0.0004,0.0001,9300.0,1.5454,73334.0
1819,20170823,10000955.SH,2.75,0.0001,0.0,0.0001,0.0004,0.0001,6747.0,0.9614,68942.0
1820,20170720,10000963.SH,2.8,0.028,0.032,0.032,0.11,0.0279,47013.0,1447.0379,32666.0
1821,20170721,10000963.SH,2.8,0.0335,0.0193,0.0193,0.0335,0.018,46657.0,1250.4552,54009.0
1822,20170724,10000963.SH,2.8,0.0188,0.0197,0.0197,0.0245,0.017,52621.0,1089.7973,71043.0
1823,20170725,10000963.SH,2.8,0.0197,0.0129,0.0129,0.0228,0.0129,32204.0,581.0366,77903.0
1824,20170726,10000963.SH,2.8,0.013,0.0136,0.0136,0.0183,0.0094,45913.0,578.2031,91182.0
1825,20170727,10000963.SH,2.8,0.013,0.0135,0.0135,0.0151,0.0108,50715.0,665.7444,106107.0
1826,20170728,10000963.SH,2.8,0.0136,0.013,0.013,0.0149,0.0117,35974.0,472.8548,113285.0
1827,20170731,10000963.SH,2.8,0.0134,0.0122,0.0122,0.0144,0.0107,28939.0,371.2271,121156.0
1828,20170801,10000963.SH,2.8,0.0122,0.0202,0.0202,0.0202,0.012,59238.0,977.3643,121569.0
1829,20170802,10000963.SH,2.8,0.0219,0.019,0.019,0.0251,0.0181,62237.0,1361.8215,126991.0
1830,20170803,10000963.SH,2.8,0.0186,0.0088,0.0088,0.021,0.0088,70374.0,1037.8842,132956.0
1831,20170804,10000963.SH,2.8,0.0086,0.0056,0.0056,0.0109,0.0056,52868.0,453.2414,133862.0
1832,20170807,10000963.SH,2.8,0.0057,0.005,0.005,0.0068,0.0046,36834.0,200.6407,136221.0
1833,20170808,10000963.SH,2.8,0.0052,0.0044,0.0044,0.0056,0.0038,23627.0,111.0179,132696.0
1834,20170809,10000963.SH,2.8,0.0046,0.0025,0.0025,0.0046,0.0022,24855.0,82.0633,127842.0
1835,20170810,10000963.SH,2.8,0.0025,0.0021,0.0021,0.0034,0.0013,33159.0,72.3088,117548.0
1836,20170811,10000963.SH,2.8,0.0019,0.0012,0.0012,0.0021,0.001,21300.0,31.3714,108449.0
1837,20170814,10000963.SH,2.8,0.0012,0.0006,0.0006,0.0014,0.0006,12184.0,10.272,102037.0
1838,20170815,10000963.SH,2.8,0.0006,0.0006,0.0006,0.0008,0.0005,12606.0,7.9071,94840.0
1839,20170816,10000963.SH,2.8,0.0004,0.0004,0.0004,0.0006,0.0004,5294.0,2.5455,91921.0
1840,20170817,10000963.SH,2.8,0.0004,0.0003,0.0003,0.0005,0.0003,5496.0,2.0479,87548.0
1841,20170818,10000963.SH,2.8,0.0003,0.0002,0.0002,0.0004,0.0002,4410.0,1.3536,85749.0
1842,20170821,10000963.SH,2.8,0.0002,0.0001,0.0001,0.0003,0.0001,3822.0,0.5874,83600.0
1843,20170822,10000963.SH,2.8,0.0001,0.0001,0.0001,0.0002,0.0001,3646.0,0.3808,82489.0
1844,20170823,10000963.SH,2.8,0.0001,0.0,0.0001,0.0001,0.0001,1549.0,0.1549,81631.0
1845,20170803,10000981.SH,2.85,0.0319,0.0209,0.0209,0.0352,0.0209,17539.0,506.3184,8945.0
1846,20170804,10000981.SH,2.85,0.0201,0.0155,0.0155,0.0227,0.0148,10792.0,214.7012,12451.0
1847,20170807,10000981.SH,2.85,0.0149,0.014,0.014,0.0167,0.0123,9421.0,132.5166,15827.0
1848,20170808,10000981.SH,2.85,0.014,0.0126,0.0126,0.0148,0.0113,6049.0,78.9878,17921.0
1849,20170809,10000981.SH,2.85,0.0125,0.0078,0.0078,0.0127,0.0078,5909.0,63.5961,19755.0
1850,20170810,10000981.SH,2.85,0.0076,0.0056,0.0056,0.0089,0.0043,11396.0,69.0086,18480.0
1851,20170811,10000981.SH,2.85,0.0051,0.0048,0.0048,0.0056,0.0042,10783.0,52.9522,19296.0
1852,20170814,10000981.SH,2.85,0.0046,0.005,0.005,0.0052,0.0044,8079.0,38.7078,21190.0
1853,20170815,10000981.SH,2.85,0.005,0.0054,0.0054,0.007,0.005,9340.0,58.9109,22619.0
1854,20170816,10000981.SH,2.85,0.0052,0.0038,0.0038,0.0052,0.0035,9009.0,35.8121,20839.0
1855,20170817,10000981.SH,2.85,0.0062,0.0049,0.0049,0.0062,0.0041,4961.0,23.3397,22454.0
1856,20170818,10000981.SH,2.85,0.0048,0.0052,0.0052,0.006,0.0046,8412.0,45.622,25958.0
1857,20170821,10000981.SH,2.85,0.0052,0.0044,0.0044,0.0069,0.004,10697.0,57.8146,29261.0
1858,20170822,10000981.SH,2.85,0.0044,0.005,0.005,0.005,0.0038,15772.0,69.451,34673.0
1859,20170823,10000981.SH,2.85,0.0055,0.0065,0.0065,0.0083,0.0028,22633.0,151.8974,41686.0
1860,20170824,10000981.SH,2.85,0.0065,0.0043,0.0043,0.0077,0.004,26701.0,154.8871,50768.0
1861,20170825,10000981.SH,2.85,0.0046,0.0175,0.0175,0.0181,0.0043,61067.0,663.4216,62233.0
1862,20170828,10000981.SH,2.85,0.018,0.0267,0.0267,0.0374,0.018,153294.0,4408.5823,92478.0
1863,20170829,10000981.SH,2.85,0.0269,0.0259,0.0259,0.0289,0.0231,65695.0,1716.9063,99224.0
1864,20170830,10000981.SH,2.85,0.0261,0.0209,0.0209,0.0352,0.0198,82841.0,2311.7202,105782.0
1865,20170831,10000981.SH,2.85,0.0213,0.0187,0.0187,0.0255,0.0167,60974.0,1187.053,109204.0
1866,20170901,10000981.SH,2.85,0.0208,0.0178,0.0178,0.0248,0.0151,65368.0,1295.9355,112189.0
1867,20170904,10000981.SH,2.85,0.0171,0.0178,0.0178,0.0191,0.0148,36997.0,610.8523,117043.0
1868,20170905,10000981.SH,2.85,0.019,0.0203,0.0203,0.0242,0.0174,57617.0,1201.08,115034.0
1869,20170906,10000981.SH,2.85,0.0188,0.016,0.016,0.02,0.0145,47179.0,789.641,119786.0
1870,20170907,10000981.SH,2.85,0.0167,0.008,0.008,0.0225,0.0079,48664.0,654.9604,120569.0
1871,20170908,10000981.SH,2.85,0.0087,0.0081,0.0081,0.0106,0.0069,40397.0,350.9814,125792.0
1872,20170911,10000981.SH,2.85,0.008,0.0075,0.0075,0.012,0.0074,37710.0,350.2296,130093.0
1873,20170912,10000981.SH,2.85,0.008,0.0088,0.0088,0.0105,0.0075,30193.0,257.6818,131150.0
1874,20170913,10000981.SH,2.85,0.0088,0.0071,0.0071,0.0091,0.0063,28499.0,223.4234,129369.0
1875,20170914,10000981.SH,2.85,0.0075,0.0028,0.0028,0.0081,0.0025,41471.0,180.7877,120184.0
1876,20170915,10000981.SH,2.85,0.0028,0.002,0.002,0.0036,0.0015,26594.0,67.755,113826.0
1877,20170918,10000981.SH,2.85,0.0019,0.0016,0.0016,0.0037,0.0011,29743.0,65.2642,106076.0
1878,20170919,10000981.SH,2.85,0.0015,0.0009,0.0009,0.002,0.0007,19765.0,20.4316,97155.0
1879,20170920,10000981.SH,2.85,0.0008,0.0006,0.0006,0.0009,0.0005,9536.0,6.3259,90917.0
1880,20170921,10000981.SH,2.85,0.0006,0.0006,0.0006,0.0011,0.0003,7925.0,5.6023,87654.0
1881,20170922,10000981.SH,2.85,0.0005,0.0004,0.0005,0.0007,0.0002,10270.0,4.5577,79786.0
1882,20170925,10000981.SH,2.85,0.0004,0.0002,0.0002,0.0005,0.0001,4762.0,1.2718,77991.0
1883,20170926,10000981.SH,2.85,0.0002,0.0001,0.0001,0.0003,0.0001,3072.0,0.4422,76232.0
1884,20170927,10000981.SH,2.85,0.0001,0.0,0.0001,0.0001,0.0001,3151.0,0.3151,73706.0
1885,20170829,10001003.SH,2.9,0.0134,0.0144,0.0144,0.0163,0.0125,44172.0,642.283,25123.0
1886,20170830,10001003.SH,2.9,0.0143,0.0107,0.0107,0.0205,0.0103,35758.0,554.3841,37224.0
1887,20170831,10001003.SH,2.9,0.0115,0.01,0.01,0.0136,0.0087,30115.0,312.4349,48585.0
1888,20170901,10001003.SH,2.9,0.0111,0.0094,0.0094,0.0132,0.008,29871.0,314.3878,53837.0
1889,20170904,10001003.SH,2.9,0.0094,0.0087,0.0087,0.0101,0.0072,22182.0,189.5852,59724.0
1890,20170905,10001003.SH,2.9,0.0089,0.0093,0.0093,0.0122,0.0089,35747.0,376.5384,67510.0
1891,20170906,10001003.SH,2.9,0.0094,0.008,0.008,0.0102,0.0065,29127.0,233.3148,67509.0
1892,20170907,10001003.SH,2.9,0.0086,0.0033,0.0033,0.0092,0.0032,30387.0,187.5554,65357.0
1893,20170908,10001003.SH,2.9,0.004,0.0037,0.0037,0.005,0.003,20029.0,74.8617,63427.0
1894,20170911,10001003.SH,2.9,0.0033,0.0033,0.0033,0.0058,0.003,15390.0,64.3075,65110.0
1895,20170912,10001003.SH,2.9,0.0033,0.004,0.004,0.0047,0.0031,13535.0,52.6949,68541.0
1896,20170913,10001003.SH,2.9,0.0038,0.0026,0.0026,0.0042,0.0026,10698.0,36.0385,67987.0
1897,20170914,10001003.SH,2.9,0.003,0.0015,0.0015,0.0034,0.0012,26710.0,51.4833,57421.0
1898,20170915,10001003.SH,2.9,0.0013,0.0011,0.0011,0.0018,0.0011,6931.0,9.6054,55984.0
1899,20170918,10001003.SH,2.9,0.0008,0.0007,0.0007,0.0017,0.0006,7364.0,7.6486,54491.0
1900,20170919,10001003.SH,2.9,0.0007,0.0006,0.0006,0.0007,0.0005,4021.0,2.4794,52503.0
1901,20170920,10001003.SH,2.9,0.0005,0.0003,0.0003,0.0006,0.0003,2323.0,1.1295,51445.0
1902,20170921,10001003.SH,2.9,0.0003,0.0003,0.0003,0.0005,0.0002,2918.0,0.9366,49889.0
1903,20170922,10001003.SH,2.9,0.0002,0.0003,0.0003,0.0004,0.0001,6029.0,1.2547,45367.0
1904,20170925,10001003.SH,2.9,0.0002,0.0002,0.0002,0.0002,0.0001,1553.0,0.2014,44329.0
1905,20170926,10001003.SH,2.9,0.0002,0.0001,0.0001,0.0002,0.0001,3383.0,0.4061,42809.0
1906,20170927,10001003.SH,2.9,0.0001,0.0,0.0001,0.0001,0.0001,546.0,0.0546,42611.0
1907,20171009,10001021.SH,2.85,0.0324,0.0172,0.0172,0.048,0.0163,17682.0,496.8957,6756.0
1908,20171010,10001021.SH,2.85,0.0178,0.0189,0.0189,0.0225,0.0164,16312.0,303.883,13795.0
1909,20171011,10001021.SH,2.85,0.0188,0.0202,0.0202,0.0211,0.018,13235.0,254.8806,18887.0
1910,20171012,10001021.SH,2.85,0.0193,0.0201,0.0201,0.0213,0.018,8702.0,169.223,22327.0
1911,20171013,10001021.SH,2.85,0.0195,0.019,0.019,0.0205,0.0182,8140.0,157.5372,24422.0
1912,20171016,10001021.SH,2.85,0.0174,0.0187,0.0187,0.0224,0.0172,18837.0,377.7545,29217.0
1913,20171017,10001021.SH,2.85,0.0183,0.0158,0.0158,0.0197,0.0146,17128.0,278.8477,31537.0
1914,20171018,10001021.SH,2.85,0.0156,0.0187,0.0187,0.019,0.015,18273.0,303.9863,35426.0
1915,20171019,10001021.SH,2.85,0.0177,0.0188,0.0186,0.0203,0.0174,33026.0,620.7078,46286.0
1916,20171020,10001021.SH,2.85,0.0186,0.0147,0.0147,0.0186,0.0142,27480.0,423.5447,50749.0
1917,20171023,10001021.SH,2.85,0.0148,0.0127,0.0127,0.017,0.0108,23613.0,302.1069,55560.0
1918,20171024,10001021.SH,2.85,0.0126,0.0191,0.0191,0.0212,0.012,62478.0,1121.0659,64843.0
1919,20171025,10001021.SH,2.85,0.0187,0.0174,0.0174,0.0231,0.0168,53900.0,1050.7632,76003.0
1920,20171026,10001021.SH,2.85,0.0181,0.0272,0.0272,0.0317,0.018,126829.0,3353.1356,90626.0
1921,20171027,10001021.SH,2.85,0.0279,0.0422,0.0422,0.0422,0.0261,154011.0,5240.8616,79339.0
1922,20171030,10001021.SH,2.85,0.0433,0.0344,0.0344,0.0505,0.0275,166205.0,6117.9161,85899.0
1923,20171031,10001021.SH,2.85,0.0323,0.0308,0.0308,0.0334,0.0284,84450.0,2574.1993,99477.0
1924,20171101,10001021.SH,2.85,0.0315,0.0243,0.0243,0.0409,0.0236,171889.0,5542.0128,106421.0
1925,20171102,10001021.SH,2.85,0.0235,0.0259,0.0259,0.0268,0.0194,116437.0,2616.333,117167.0
1926,20171103,10001021.SH,2.85,0.026,0.0254,0.0254,0.0271,0.0175,112018.0,2496.8374,126530.0
1927,20171106,10001021.SH,2.85,0.025,0.0219,0.0219,0.025,0.0184,100656.0,2102.264,136256.0
1928,20171107,10001021.SH,2.85,0.024,0.0396,0.0396,0.0421,0.0231,203712.0,7291.116,108549.0
1929,20171108,10001021.SH,2.85,0.0395,0.039,0.039,0.0568,0.0366,191298.0,8797.2496,103912.0
1930,20171109,10001021.SH,2.85,0.0396,0.044,0.044,0.044,0.0355,124229.0,4940.3465,104493.0
1931,20171110,10001021.SH,2.85,0.0443,0.072,0.072,0.0751,0.0434,179162.0,10303.5422,67774.0
1932,20171113,10001021.SH,2.85,0.0748,0.0816,0.0816,0.0906,0.0746,97086.0,8109.3664,57161.0
