,trade_date,price,settle,per,normcjl,normcje,normccl,jc,dt,g_settle,q,iv,normprice,normsettle,normper,normjc,normdt,normgse,normq,normiv
1119,20160406,2.25,0.0281,-0.103202847,-0.336386472,-0.035255446,-0.115689588,-0.085,21,0.1083,-0.017929093,0.283401489,-1.19466276030825,-0.573980531996562,0.04077860002008046,-0.11441844655837032,-0.013951351462280251,-0.2806979231601408,-0.09332814683540723,0.10296223055636401
1120,20160406,2.3,0.0395,-0.136708861,-0.457829151,-0.038441106,-0.719198951,-0.135,49,0.1489,-0.066741921,0.253665924,-1.0926575937551792,-0.488228556681885,0.036810346570642034,-0.2965429989124018,1.9613371653902012,-0.0516610383381586,-0.1027886243228031,-0.039814000831439794
1121,20160406,2.2,0.0449,-0.115812918,-0.250027984,-0.029100414,0.08722846,-0.035,21,0.1833,0.871750764,0.487068176,-1.296667926861321,-0.44760919995388,0.039285138048047216,0.06770610579566123,-0.013951351462280251,0.14239977047652572,0.07910185984517408,1.080874102387264
1122,20160407,2.3,0.0091,-0.989010989,-0.307758042,-0.037254338,-0.009821141,-0.161,20,0.0897,-0.652895031,0.170280457,-1.0926575937551792,-0.7169004908543571,-0.06413125929747819,-0.3912477661364982,-0.08449736992129744,-0.3856261511820341,-0.2163917186020788,-0.4401918894228309
1123,20160407,2.25,0.0176,-0.636363636,-0.30463156,-0.035691602,-0.121188149,-0.111,20,0.1266,0.003734666,0.273635864,-1.19466276030825,-0.6529626145232382,-0.022365799670511423,-0.2091232137824667,-0.08449736992129744,-0.1774620859127942,-0.08912946561349833,0.056072281276889395
1124,20160407,2.3,0.0282,-0.40070922,-0.45294508,-0.038460518,-0.701540111,-0.161,48,0.1677,-0.054989017,0.246147156,-1.0926575937551792,-0.5732283216867841,0.0055437108181847225,-0.3912477661364982,1.890791146931184,0.05439545020009907,-0.10051077875926547,-0.07591559700824731
1125,20160407,2.2,0.0312,-0.538461538,-0.218256173,-0.030053903,0.150398466,-0.061,20,0.2004,0.968764651,0.467330933,-1.296667926861321,-0.5506620123934481,-0.010770856204667953,-0.026998661428435145,-0.08449736992129744,0.23886604462568573,0.097904247076831,0.9861051220929493
1126,20160408,2.3,0.0064,-0.40625,-0.352931474,-0.038521652,-0.006648895,-0.176,19,0.094,-0.762759307,0.163009644,-1.0926575937551792,-0.7372101692183596,0.004887493717947745,-0.4458851318427076,-0.15504338838031465,-0.3613685500801986,-0.2376846563881674,-0.4751029220285826
1127,20160408,2.25,0.0129,-0.310077519,-0.325063539,-0.037344055,-0.121315039,-0.126,19,0.1338,-0.025146733,0.264808655,-1.19466276030825,-0.6883164990827981,0.016277591611099172,-0.26376057948867615,-0.15504338838031465,-0.13684470732367415,-0.09472700700249544,0.013688165330462824
1128,20160408,2.3,0.0224,-0.21875,-0.45294508,-0.038715574,-0.67963046,-0.176,47,0.1778,-0.053719952,0.240261078,-1.0926575937551792,-0.6168565196539005,0.027093880958450493,-0.4458851318427076,1.8202451284721668,0.11137260627650364,-0.10026481962609371,-0.1041777818530506
1129,20160408,2.2,0.0233,-0.206008584,-0.21531559,-0.033254064,0.132020583,-0.076,19,0.206,1.011726264,0.445251465,-1.296667926861321,-0.6100866268658997,0.028602898652788294,-0.0816360271346446,-0.15504338838031465,0.27045733908389014,0.1062306929981514,0.8800898763060404
1130,20160411,2.3,0.0064,-0.1875,-0.353759569,-0.038311661,0.024291085,-0.156,16,0.0773,-0.867487467,0.153869629,-1.0926575937551792,-0.7372101692183596,0.030794945498534284,-0.37303531090109504,-0.3666814437573662,-0.4555783031966297,-0.2579821568725973,-0.5189889856203791
