,trade_date,ts_code,price,open,settle,close,high,low,vol,amount,oi
1951,20171101,10001024.SH,2.9,0.0559,0.0619,0.0619,0.0649,0.0423,78133,4130.4002,30208
1970,20171101,10001036.SH,2.95,0.0977,0.108,0.1051,0.1091,0.0816,19172,1794.1611,5074
1925,20171102,10001022.SH,2.85,0.0276,0.0234,0.0234,0.032,0.0225,97058,2768.6263,84812
1952,20171102,10001024.SH,2.9,0.0635,0.0565,0.0565,0.0696,0.0558,45680,2966.9985,28881
1971,20171102,10001036.SH,2.95,0.106,0.103,0.1007,0.1152,0.0993,9140,998.3564,5887
1926,20171103,10001022.SH,2.85,0.0241,0.0203,0.0203,0.0328,0.0195,119138,3235.0504,86778
1953,20171103,10001024.SH,2.9,0.0565,0.0531,0.0531,0.0721,0.0518,49121,3064.2701,29575
1972,20171103,10001036.SH,2.95,0.1015,0.099,0.0981,0.1174,0.0956,15914,1714.4521,6546
1927,20171106,10001022.SH,2.85,0.0215,0.0235,0.0235,0.0293,0.0204,88214,2202.5275,90720
1954,20171106,10001024.SH,2.9,0.0543,0.0584,0.0584,0.0681,0.0543,34531,2107.6778,27916
1973,20171106,10001036.SH,2.95,0.1006,0.107,0.1048,0.1143,0.0995,11142,1192.221,5714
1928,20171107,10001022.SH,2.85,0.0224,0.0103,0.0103,0.0225,0.0082,134125,1594.9192,100797
1955,20171107,10001024.SH,2.9,0.0572,0.0344,0.0344,0.0578,0.0309,98625,3749.5602,37835
1974,20171107,10001036.SH,2.95,0.104,0.0752,0.0752,0.104,0.0704,31980,2542.1331,8026
1929,20171108,10001022.SH,2.85,0.0102,0.0095,0.0095,0.0125,0.0061,93511,835.0396,104759
1956,20171108,10001024.SH,2.9,0.0338,0.0338,0.0338,0.039,0.0235,144266,4300.6489,49658
1975,20171108,10001036.SH,2.95,0.0748,0.076,0.0743,0.0801,0.057,55576,3784.1776,10203
1986,20171108,10001046.SH,2.946,0.12,0.126,0.1179,0.122,0.1029,3840,433.6329,1662
1930,20171109,10001022.SH,2.85,0.0099,0.007,0.007,0.0121,0.007,75172,739.8688,108297
1957,20171109,10001024.SH,2.9,0.034,0.0287,0.0287,0.0385,0.0287,99203,3327.9237,52082
1976,20171109,10001036.SH,2.95,0.0751,0.0665,0.0665,0.0798,0.0665,29248,2159.3691,10304
1987,20171109,10001046.SH,2.946,0.1187,0.115,0.1143,0.1233,0.113,2844,336.7117,2456
1931,20171110,10001022.SH,2.85,0.0068,0.0036,0.0036,0.0083,0.0028,95651,517.2888,103075
1958,20171110,10001024.SH,2.9,0.03,0.015,0.015,0.031,0.012,148353,3167.8538,89199
1977,20171110,10001036.SH,2.95,0.0675,0.0402,0.0402,0.0693,0.0376,63099,3285.1469,21804
1988,20171110,10001046.SH,2.946,0.1137,0.092,0.0921,0.1164,0.09,5107,518.6352,3468
1932,20171113,10001022.SH,2.85,0.0032,0.0017,0.0017,0.0032,0.0015,39845,85.8979,92650
1959,20171113,10001024.SH,2.9,0.0119,0.0092,0.0092,0.0122,0.0082,118918,1160.8297,91386
1978,20171113,10001036.SH,2.95,0.0388,0.032,0.032,0.0388,0.0283,89154,2888.3839,32701
1989,20171113,10001046.SH,2.946,0.0916,0.0832,0.0832,0.0916,0.0786,7764,647.0926,4409
1933,20171114,10001022.SH,2.85,0.0016,0.0016,0.0016,0.0025,0.0012,27994,51.7211,85092
1960,20171114,10001024.SH,2.9,0.0098,0.0109,0.0109,0.0116,0.0075,94413,948.3797,87702
1979,20171114,10001036.SH,2.95,0.0344,0.0404,0.0404,0.0407,0.0296,106857,3886.7065,33723
1990,20171114,10001046.SH,2.946,0.0847,0.0896,0.0896,0.0927,0.0795,10082,872.9852,4945
2022,20171114,10001054.SH,3.044,0.1663,0.187,0.1755,0.1798,0.1618,2946,509.1114,1366
