trade_date,price,open,settle,close,high,low,vol,amount,oi
20190213,2.65,0.0034,0.0117,0.0117,0.0147,0.0029,89417,759.9238,54209
20190213,2.6,0.0102,0.026,0.026,0.0327,0.0088,174948,3442.4229,97210
20190213,2.55,0.0243,0.0496,0.0496,0.0589,0.0229,246362,9243.0014,111453
20190213,2.05,0.4711,0.521,0.5181,0.5318,0.4704,3135,1584.172,2752
20190214,2.7,0.005,0.0061,0.0061,0.0085,0.0041,59670,400.3451,39689
20190214,2.65,0.011,0.013,0.013,0.0178,0.0102,108887,1570.2083,70092
20190214,2.75,0.0136,0.0178,0.0178,0.0197,0.013,9152,157.7583,4586
20190214,2.6,0.0252,0.0281,0.0281,0.0348,0.0241,196615,5886.1032,118089
20190214,2.55,0.0484,0.0517,0.0517,0.0598,0.0467,168628,9042.8069,114025
20190214,2.05,0.5142,0.5193,0.5193,0.5294,0.512,1735,903.2011,2051
20190215,2.7,0.006,0.002,0.002,0.0063,0.0016,49177,177.4564,41119
20190215,2.65,0.0122,0.0043,0.0043,0.0134,0.003,109048,792.6867,81651
20190215,2.6,0.0264,0.0091,0.0091,0.0274,0.0075,210831,3278.417,128639
20190215,2.75,0.0178,0.01,0.01,0.0178,0.01,16167,218.7943,12044
20190215,2.55,0.0497,0.0204,0.0204,0.0505,0.0186,239346,7407.2899,133494
20190215,2.05,0.5121,0.4645,0.4645,0.5162,0.4617,1415,682.0301,1888
20190218,2.7,0.0026,0.004,0.004,0.0045,0.0021,40005,141.2815,50349
20190218,2.65,0.0057,0.0102,0.0102,0.0106,0.0056,98292,813.0109,86793
20190218,2.75,0.0116,0.0174,0.0174,0.0175,0.0116,20134,307.8197,17145
20190218,2.6,0.012,0.0236,0.0236,0.0237,0.012,192177,3694.2147,123236
20190218,2.55,0.0265,0.0477,0.0477,0.0477,0.0263,250703,9840.8407,114262
20190218,2.05,0.4885,0.521,0.5197,0.5222,0.4885,1033,528.2245,1832
20190219,2.7,0.0039,0.003,0.003,0.0065,0.002,81098,355.7403,62914
20190219,2.65,0.0115,0.0087,0.0087,0.0173,0.0063,169945,2014.5756,100025
20190219,2.75,0.0176,0.0198,0.0198,0.0241,0.0168,31384,637.8489,18745
20190219,2.6,0.026,0.0217,0.0217,0.0387,0.0175,333464,9154.4893,128116
20190219,2.55,0.0511,0.0446,0.0446,0.0713,0.0381,290137,15254.2695,111123
20190219,2.05,0.5319,0.517,0.5186,0.555,0.5084,1201,631.657,1732
20190220,2.7,0.0031,0.0032,0.0032,0.0048,0.0021,38407,128.7516,69596
20190220,2.65,0.0116,0.0104,0.0104,0.0137,0.0071,85638,892.3599,108188
20190220,2.75,0.022,0.0202,0.0202,0.0235,0.0171,17406,357.7495,23808
20190220,2.6,0.0281,0.025,0.025,0.0319,0.0183,223656,5653.5296,139471
20190220,2.55,0.0531,0.0488,0.0488,0.0602,0.0393,212876,10727.1155,104932
