trade_date,normprice,normsettle,normper,normjc,normgse,normiv,normcjl,normcje,normccl
20190313,0.233409571,-0.71389165,0.004381032,-0.693574523,-0.374343546,-0.476971198,0.278313581,-0.031120163,1.2602407
20190313,-0.072605928,-0.516060338,0.027528084,-0.147200866,-0.192693603,0.334701153,2.045890993,0.051044734,1.721358482
20190313,0.335414738,-0.505529394,0.045360425,-0.875699075,0.507392048,0.127213125,-0.031326382,-0.02372937,0.70480145
20190313,-0.174611095,-0.382919113,0.040383124,0.034923686,0.907924531,2.283344874,2.496831017,0.112843633,0.982309592
20190313,-0.684636928,1.158359811,0.050480484,0.945546448,-0.695333663,0.28444099,-0.437076074,-0.028831058,-0.715159623
20190314,0.233409571,-0.719157122,0.050309649,-0.679004559,-0.429064181,-0.526352172,0.034701526,-0.034739997,1.1224806
20190314,0.335414738,-0.538626647,0.044696505,-0.861129111,-0.240080545,-0.453462115,-0.053786349,-0.025052882,0.828074957
20190314,-0.072605928,-0.535617806,0.044439834,-0.132630902,0.474108362,1.270009109,1.25754447,0.021381041,1.946630296
20190314,-0.174611095,-0.42278626,0.044892776,0.049493651,0.823869122,2.171211955,1.838579923,0.079773449,1.171481237
20190314,-0.684636928,1.148581077,0.051711502,0.960116412,-0.723540176,0.220938075,-0.448770805,-0.031227446,-0.711522114
20190315,0.233409571,-0.727431435,0.033005971,-0.569729827,-0.556557619,-0.674092149,0.243330788,-0.033488437,1.093592007
20190315,0.335414738,-0.547653171,0.044755923,-0.75185438,-0.389575063,-0.574716594,0.177421179,-0.019444958,0.949508561
20190315,-0.072605928,-0.530352334,0.04112299,-0.02335617,0.330255146,1.190552623,2.455274164,0.061325669,1.957944642
20190315,-0.174611095,-0.389689006,0.052100693,0.158768382,0.66534852,2.183923528,3.406992017,0.163362665,1.103383675
20190315,-0.684636928,1.287739985,0.061810833,1.069391144,-0.77600429,0.138532653,-0.442754441,-0.029280593,-0.703760684
20190318,0.233409571,-0.66725461,0.114858615,-0.307470472,-0.741028214,-0.717648515,0.829757309,-0.025066369,0.99523121
20190318,0.335414738,-0.428803942,0.09397852,-0.489595024,-0.634407595,-0.6704655,0.810221025,0.003925601,0.751729553
20190318,-0.072605928,-0.320485658,0.104744371,0.238903185,-0.041506694,1.527629084,3.983244797,0.15751061,1.58537484
20190318,-0.174611095,-0.088052672,0.100911553,0.421027737,0.355641008,2.976510201,3.43682034,0.202887731,0.690653229
20190318,-0.684636928,1.754862587,0.07243,1.331650499,-0.818314059,0.215534745,-0.440033557,-0.027703148,-0.694138202
20190319,0.233409571,-0.694334182,0.008955606,-0.387605275,-0.702103226,-0.672956529,0.644517508,-0.022990234,1.228518233
20190319,0.335414738,-0.462653406,0.041406389,-0.569729827,-0.572353267,-0.622989427,0.393452598,-0.001277011,0.878682866
20190319,-0.072605928,-0.409246474,0.017471113,0.158768382,0.066242186,1.66901327,3.25641391,0.158169125,1.916409359
20190319,-0.174611095,-0.216680635,0.021042934,0.340892934,0.460569236,3.104248682,1.696265867,0.131694595,0.746484771
20190319,-0.684636928,1.597650632,0.044854086,1.251515696,-0.804774933,0.234950114,-0.459265643,-0.032502921,-0.690712175
20190320,0.233409571,-0.71539607,0.023711188,-0.373035311,-0.725232567,-0.737650007,0.340184114,-0.031162534,1.349803799
20190320,0.335414738,-0.456635724,0.06167385,-0.555159863,-0.602816301,-0.64189194,0.401632149,-0.003484123,1.074706564
