time,normper,normcjl,normcje,normjc,normccl,y1,y2,y3,y4
1810,-1.819675881,-0.788895592,-0.658758813,0.258025116,-1.123901778,-1.371517348074026,-1.244795943720172,-1.2965810038252679,0.7651549226865655
1811,0.50080665,-0.575905039,-0.546018679,0.101865546,-0.400270197,-0.8771146273113994,0.09223324350522137,0.5204829655699595,-0.044730275880613374
1812,-0.573301803,-0.464947076,-0.495784635,0.110767972,-0.491706822,-0.8108991758615984,-0.43290322158265565,-0.39130518517488266,0.20910820149462214
1901,0.263536397,-0.547124151,-0.538870967,0.539004395,-0.760938186,-1.0634618984714852,0.07597460745833706,0.34977188369311596,0.5120399072734495
1902,1.298702295,-0.561121391,-0.53471879,0.931725076,-0.525888408,-1.072549513706896,0.9375766863763043,1.0826565660225071,0.47531782014355217
1903,2.811956047,0.437921894,0.131953734,0.486402725,-0.04809183,0.2781029434857111,1.5497950940142995,2.4026725853677684,0.07769231902540846
1904,0.043836209,0.225358129,0.042105685,0.190268125,-0.029680037,0.12620385004471096,0.1331717400759045,0.008647784276035082,0.1943753159511554
1905,-1.760381205,0.616760009,0.155314226,-0.496321124,0.500956506,0.7587609890037378,-0.8287881405907591,-1.6244785435595854,-0.22426625481723467
1906,0.084493885,0.420639514,0.033719867,0.298218238,0.406314258,0.36411872968684816,0.4813141843055258,-0.15294982207768446,0.019718948776971085
1907,-0.014416994,0.174735555,-0.096260311,0.206111778,-0.20186787,-0.05458409173036777,0.028788052646505455,0.005878441006527575,0.26502827456295824
1908,-0.199718173,0.514617879,0.075049969,0.330840801,1.082401612,0.6560882881572919,0.7664670723300704,-0.6715277373128201,-0.31133537995140675
1909,0.611836284,0.394197183,0.06582557,0.118779937,0.896880495,0.5647849794636172,0.8734457869207708,0.16785877058160936,-0.4759806571831021
1910,-0.04466776,-0.184843144,-0.290931083,0.40869442,-0.531395507,-0.5659070588096373,-0.029151980519652343,0.0421092295979629,0.47713349293526286
1911,-0.267450014,0.621608665,0.16250207,0.478913018,1.414888287,0.8552131507432927,1.024329244357067,-0.8868366329349486,-0.3631477736050354
1912,0.738496781,0.270599853,-0.013600106,0.460871073,0.563507283,0.25391993821093994,0.9735576036412712,0.322372023805639,-0.10862996379928408
2001,0.857314765,0.169505578,-0.021985924,0.288807757,-0.171103268,-0.011103428534535137,0.48354749626316995,0.7536354387985927,0.2004191669941425
2002,0.046919711,0.917217551,0.460797593,-0.114889086,0.836913005,1.1928077940329522,0.40845696459867187,-0.21531641709320615,-0.2811087825333287
2003,-0.629706595,1.554431418,0.826179658,-0.28366589,1.066308907,1.9533382028093351,0.10999339320741658,-0.8293014537378061,-0.19787760435489546
2004,0.19945273,1.129347292,0.51710237,0.392402805,1.221728858,1.3819714448115066,1.0433919202653623,-0.3442426596039931,-0.1507647594742063
