time,per,cjl,cje,jc,ccl,price,avgp
200403,-0.515,559910,5.61E+11,-45.4393,96374,5061.6,5012.1435
200410,2.8138,365100,3.82E+11,-12.7102,92119,5195.8,5227.2316
200417,1.3157,394026,4.13E+11,-66.6547,85073,5251.8,5242.4246
200424,-0.6741,417194,4.39E+11,-57.3474,85546,5216.2,5259.6609
200430,2.4085,349789,3.65E+11,-21.8595,84353,5332,5216.9187
200508,2.7874,239493,2.59E+11,-27.8965,77944,5479.8,5416.7118
200515,-1.3687,361779,3.96E+11,-103.3336,122218,5404.6,5470.6977
200522,-2.8977,454690,4.90E+11,-60.4268,122558,5267.8,5390.7989
200529,0.7234,430364,4.56E+11,-87.5403,114990,5318.8,5295.7476
200605,4.2207,402697,4.44E+11,-44.4231,105537,5541,5512.5928
200612,0.8899,436977,4.86E+11,-13.2871,88231,5578.2,5555.4146
200619,2.2732,377391,4.27E+11,-73.3482,92644,5713.8,5660.7921
200624,0.3739,218159,2.50E+11,-44.8893,85670,5744.2,5727.5773
200703,5.312,444244,5.20E+11,-16.7099,83464,6034.8,5853.0974
200710,11.1347,531060,6.90E+11,12.7627,81989,6689.2,6500.7705
200717,-5.8737,539188,7.16E+11,-43.5912,93207,6301,6638.4796
200724,-1.7515,600974,7.76E+11,-79.9831,99535,6204,6454.9232
200731,4.7656,559011,7.13E+11,-63.6696,103706,6516,6379.3223
200807,1.9145,556796,7.38E+11,-66.6822,95135,6622.2,6629.3266
200814,0.2843,530104,6.93E+11,6.8367,86776,6630.4,6538.3322
200821,-0.8453,412805,5.49E+11,-121.7444,133479,6522.2,6647.2947
200828,2.2884,558265,7.29E+11,-31.2096,135011,6660,6525.8499
200904,-0.9157,520378,6.88E+11,-39.7762,122849,6578.8,6608.5465
200911,-4.3383,578848,7.39E+11,-31.967,114709,6280,6380.1557
200918,2.4182,434819,5.51E+11,-31.8692,100788,6437.6,6337.8782
200925,-3.1536,457200,5.75E+11,-27.2904,103853,6209.6,6291.1108
200930,-0.5519,276773,3.43E+11,-29.5045,90987,6163,6198.613
201009,2.8921,78291,99272015872,-25.3711,85688,6332.6,6339.9379
201016,1.3546,284984,3.70E+11,-9.0822,0,6419.6,6490.5547
201023,-2.8566,404518,5.08E+11,-44.4626,96750,6168.8,6278.1255
201030,-1.7391,412757,5.09E+11,-43.2803,96674,6068.2,6169.5931
201106,3.3834,431352,5.36E+11,-12.8477,85497,6288.4,6213.0941
201113,0.4277,385333,4.87E+11,-14.77,77356,6292.2,6324.8989
201120,1.7611,309478,3.92E+11,-43.7854,136117,6379.2,6338.9816
201127,-0.5643,405370,5.16E+11,-7.6119,133653,6344,6363.3303
201204,2.2546,429534,5.48E+11,-6.3345,113529,6458.4,6384.5827
201211,-3.8573,392175,4.97E+11,-13.027,106683,6196.4,6339.9456
201218,1.0319,314899,3.93E+11,-45.318,89727,6246.6,6243.1264
201225,0.3236,386874,4.85E+11,-16.4981,92570,6262,6270.1512
201231,1.3507,289735,3.62E+11,-19.1149,91004,6348,6254.225
210108,3.2599,384565,4.98E+11,-6.9964,82709,6550.6,6474.1914
210115,-2.0659,293165,3.80E+11,-27.3011,0,6390.2,6478.7264
210122,3.1738,319122,4.14E+11,-71.2052,72891,6566.6,6483.1182
210129,-3.762,334390,4.32E+11,-32.5371,78082,6313.6,6459.604
210205,-0.7992,301853,3.83E+11,-8.6709,62476,6231.2,6341.2624
210210,3.9818,164079,2.09E+11,-33.1658,35304,6492,6377.1803
210219,1.9906,124302,1.63E+11,-73.4821,138714,6630,6573.0116
210226,-4.4188,431668,5.63E+11,-43.9529,137938,6320.4,6524.9727
210305,1.0103,382430,4.89E+11,-4.4964,125358,6399,6390.6453
210312,-2.8298,426555,5.28E+11,-7.1802,98369,6215.2,6186.212
210319,0,280428,3.47E+11,-9.8023,0,6196.8,6194.6136
210326,1.4718,336753,4.16E+11,-19.3941,95849,6232.4,6181.6156
210402,0.9589,276239,3.45E+11,-30.2059,86343,6296.4,6238.6839
210409,0.4701,224299,2.83E+11,-8.4393,80033,6326.8,6313.9173
210416,0.0696,286203,3.58E+11,-14.1906,82867,6325.4,6257.2064
210423,2.0819,262564,3.36E+11,-19.7558,74759,6443,6391.5544
210430,0.7152,272189,3.51E+11,-8.1075,76667,6477.6,6445.6932
210507,-0.5167,119670,1.55E+11,-14.2429,73969,6430.2,6473.3375
210514,1.703,286205,3.69E+11,19.3964,60860,6545.2,6443.5881
210521,-0.4781,222117,2.91E+11,-32.664,125308,6495.2,6552.6631
210528,2.3732,279030,3.68E+11,-16.3696,111990,6651.8,6587.0942
210604,0.5306,301496,4.01E+11,-24.0574,106383,6669,6651.8186
210611,1.2555,271679,3.63E+11,0.0848,79104,6726,6687.2302
210618,-1.1125,182261,2.41E+11,-9.1635,0,6648.6,6624.0676
210625,2.8372,251331,3.37E+11,-13.6138,96186,6799.8,6703.4805
210702,-2.3791,252774,3.41E+11,-19.0451,96509,6639,6737.3265
210709,2.1471,274319,3.68E+11,-20.3389,84885,6784.2,6702.7276
210716,1.5603,272399,3.76E+11,-38.5232,88600,6886.6,6894.8748
