,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB
,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS
,开盘价,收盘价,最高价,最低价,前收盘价,均价,涨跌,涨跌幅,成交量,成交金额,换手率,振幅
2016-03-04,2.3014,2.3014,2.3014,2.3014,0,2.3014,0,0,0,0,0,0
2016-03-07,2.3099,2.3099,2.3099,2.3099,0,2.3099,0,0,0,0,0,0
2016-03-08,2.3101,2.3101,2.3101,2.3101,0,2.3101,0,0,0,0,0,0
2016-03-09,2.3033,2.3033,2.3033,2.3033,0,2.3033,0,0,0,0,0,0
2016-03-10,2.2928,2.2928,2.2928,2.2928,0,2.2928,0,0,0,0,0,0
2016-03-11,2.2913,2.2913,2.2913,2.2913,0,2.2913,0,0,0,0,0,0
2016-03-14,2.2858,2.2858,2.2858,2.2858,0,2.2858,0,0,0,0,0,0
2016-03-15,2.2883,2.2883,2.2883,2.2883,0,2.2883,0,0,0,0,0,0
2016-03-16,2.2918,2.2918,2.2918,2.2918,0,2.2918,0,0,0,0,0,0
2016-03-17,2.2762,2.2762,2.2762,2.2762,0,2.2762,0,0,0,0,0,0
2016-03-18,2.279,2.279,2.279,2.279,0,2.279,0,0,0,0,0,0
2016-03-21,2.2854,2.2854,2.2854,2.2854,0,2.2854,0,0,0,0,0,0
2016-03-22,2.2907,2.2907,2.2907,2.2907,0,2.2907,0,0,0,0,0,0
2016-03-23,2.2888,2.2888,2.2888,2.2888,0,2.2888,0,0,0,0,0,0
2016-03-24,2.2931,2.2931,2.2931,2.2931,0,2.2931,0,0,0,0,0,0
2016-03-25,2.2978,2.2978,2.2978,2.2978,0,2.2978,0,0,0,0,0,0
2016-03-28,2.3136,2.3136,2.3136,2.3136,0,2.3136,0,0,0,0,0,0
2016-03-29,2.3159,2.3159,2.3159,2.3159,0,2.3159,0,0,0,0,0,0
2016-03-30,2.3117,2.3117,2.3117,2.3117,0,2.3117,0,0,0,0,0,0
2016-03-31,2.3098,2.3098,2.3098,2.3098,0,2.3098,0,0,0,0,0,0
2016-04-01,2.3092,2.3092,2.3092,2.3092,0,2.3092,0,0,0,0,0,0
2016-04-05,2.3197,2.3197,2.3197,2.3197,0,2.3197,0,0,0,0,0,0
2016-04-06,2.3244,2.3244,2.3244,2.3244,0,2.3244,0,0,0,0,0,0
