time,val,per
200204,2.4608,0.005228758
200205,2.458,-0.001137841
200206,2.4396,-0.007485761
200207,2.4088,-0.01262502
200210,2.3758,-0.013699768
200211,2.3956,0.008334035
200212,2.4062,0.004424779
200213,2.3902,-0.006649489
200214,2.3895,-0.000292863
200217,2.3945,0.002092488
200218,2.3983,0.00158697
200219,2.4036,0.002209899
200220,2.4183,0.006115826
200221,2.3911,-0.011247571
200224,2.3578,-0.013926645
200225,2.3485,-0.003944355
200226,2.3327,-0.006727699
200227,2.3083,-0.010459982
200228,2.277,-0.013559763
200229,2.3772,0.04400527
200302,2.2775,-0.041940098
200303,2.2891,0.005093304
200304,2.2262,-0.027478048
200305,2.2292,0.001347588
200306,2.2002,-0.013009151
200309,2.1457,-0.024770475
200310,2.2072,0.028661975
200311,2.2473,0.018167814
200312,2.2308,-0.007342144
200313,2.2625,0.014210149
200316,2.2387,-0.010519337
200317,2.2057,-0.014740698
200318,2.1801,-0.011606293
200319,2.1425,-0.017246915
200320,2.1264,-0.007514586
200323,2.057,-0.032637321
200324,1.9924,-0.031404959
200325,1.9768,-0.007829753
200326,1.9237,-0.026861594
200327,1.9588,0.018246088
200330,1.9293,-0.015060241
200331,2.1193,0.098481314
200401,1.8622,-0.121313641
200402,1.8577,-0.002416497
200403,1.8027,-0.029606503
200407,1.5402,-0.145614911
200408,1.4178,-0.079470199
200409,1.4121,-0.004020313
200410,1.5058,0.066355074
200413,1.5505,0.029685217
200414,1.4878,-0.040438568
200415,1.4238,-0.043016534
200416,1.4097,-0.009903076
200417,1.4355,0.018301766
200420,1.4504,0.010379659
200421,1.4329,-0.012065637
200422,1.4,-0.02296043
200423,1.4107,0.007642857
200424,1.4388,0.019919189
200426,1.4444,0.003892132
200427,1.4461,0.001176959
200428,1.4436,-0.001728788
200429,1.4183,-0.01752563
200430,1.5139,0.067404639
200506,1.4463,-0.044652883
200507,1.4886,0.029247044
200508,1.4831,-0.003694747
200509,1.4839,0.000539411
200511,1.516,0.021632185
200512,1.4982,-0.011741425
200513,1.4518,-0.030970498
200514,1.4385,-0.009161041
200515,1.4271,-0.007924922
200518,1.4627,0.024945694
200519,1.51,0.032337458
200520,1.5156,0.003708609
200521,1.513,-0.001715492
200522,1.4831,-0.019762062
200525,1.5236,0.027307666
200526,1.6505,0.083289577
200527,1.7502,0.060405938
200528,1.7611,0.00622786
200529,1.7455,-0.0088581
200531,1.5643,-0.103809797
200601,1.7004,0.087003772
200602,1.792,0.053869678
200603,1.9432,0.084375
200604,1.9602,0.008748456
200605,2.0027,0.021681461
200608,1.9907,-0.005991911
200609,1.9613,-0.014768674
200610,1.9878,0.013511446
200611,1.9996,0.005936211
200612,1.964,-0.017803561
200615,1.9271,-0.018788187
200616,1.9694,0.02195008
200617,2.0322,0.031887885
200618,2.0541,0.010776498
200619,2.0662,0.005890658
200622,2.1206,0.026328526
200623,2.1844,0.030085825
200624,2.1107,-0.033739242
200629,2.1177,0.003316435
200630,2.1485,0.014544081
200701,2.1388,-0.004514778
200702,2.1318,-0.003272863
200703,2.132,9.38E-05
200706,2.2226,0.04249531
200707,2.3184,0.043102673
200708,2.348,0.012767426
