time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,y_test_model1,y_test_model2,y_test_model3,y_test_model4,y_test_model6,y_test_model7,y_test_model9,y_test_model11,y_real
180504,-1.211526964,-0.493271236,-0.165270587,0.478289261,-1.204368217,0.004611399,0.275606472,0.544392087,-1.332130598,-0.091058551,-0.039989288,1.355891963,-1.166836166,-0.122763456,-0.059715766,0.735071014,1,0,0,0,0,0,0,1,0
180511,-1.204368217,0.004611399,0.275606472,0.544392087,-1.332130598,-0.091058551,-0.039989288,1.355891963,-1.166836166,-0.122763456,-0.059715766,0.735071014,-1.293061799,-0.052141487,0.286902138,0.395190148,1,0,0,0,0,0,0,1,0
180518,-1.332130598,-0.091058551,-0.039989288,1.355891963,-1.166836166,-0.122763456,-0.059715766,0.735071014,-1.293061799,-0.052141487,0.286902138,0.395190148,-1.302685645,0.363241153,0.495991789,0.577553147,0,0,0,0,0,0,0,0,0
180525,-1.166836166,-0.122763456,-0.059715766,0.735071014,-1.293061799,-0.052141487,0.286902138,0.395190148,-1.302685645,0.363241153,0.495991789,0.577553147,-1.130747442,-0.024520233,-0.022580518,0.44223834,0,0,0,0,0,0,0,0,0
180601,-1.293061799,-0.052141487,0.286902138,0.395190148,-1.302685645,0.363241153,0.495991789,0.577553147,-1.130747442,-0.024520233,-0.022580518,0.44223834,-1.090313126,-0.399198796,-0.179970066,0.362287497,1,0,0,0,0,0,0,1,0
180608,-1.302685645,0.363241153,0.495991789,0.577553147,-1.130747442,-0.024520233,-0.022580518,0.44223834,-1.090313126,-0.399198796,-0.179970066,0.362287497,-1.030353043,-0.564475944,-0.714860662,0.783165827,1,0,0,0,0,0,0,1,0
180615,-1.130747442,-0.024520233,-0.022580518,0.44223834,-1.090313126,-0.399198796,-0.179970066,0.362287497,-1.030353043,-0.564475944,-0.714860662,0.783165827,-1.188194656,0.074572327,0.152583,0.55662586,0,0,0,0,0,0,0,0,0
180622,-1.090313126,-0.399198796,-0.179970066,0.362287497,-1.030353043,-0.564475944,-0.714860662,0.783165827,-1.188194656,0.074572327,0.152583,0.55662586,-1.292955821,-0.494211206,-0.184546139,1.208550738,0,0,0,0,0,0,0,0,0
180629,-1.030353043,-0.564475944,-0.714860662,0.783165827,-1.188194656,0.074572327,0.152583,0.55662586,-1.292955821,-0.494211206,-0.184546139,1.208550738,-0.973043031,-1.244094964,-1.195134258,0.82973751,1,0,0,0,0,0,0,1,0
180706,-1.188194656,0.074572327,0.152583,0.55662586,-1.292955821,-0.494211206,-0.184546139,1.208550738,-0.973043031,-1.244094964,-1.195134258,0.82973751,-1.114326352,0.125571439,0.469837621,0.204255677,0,0,0,0,0,0,0,0,0
