time,normper,normcjl,normcje,normjc,normccl
211217,-0.02326808,-0.015631093,0.077048909,0.616473206,0.677930455
211224,-0.011089437,-0.048506005,0.043993709,0.982046092,0.759421318
211231,0.241414439,-0.097587151,0.006216337,0.753638301,0.865208868
220107,-0.669967146,-0.173300197,-0.06225515,0.80278776,0.686759392
220114,-0.40916084,-0.121774696,-0.02919995,0.689317401,0.497108345
220121,-0.312517411,-0.088424952,-0.007950178,1.006331663,0.493731904
220128,-1.660627771,0.100508764,0.105381938,0.353978492,0.571777884
220211,0.665885999,-0.081521303,-0.038644293,0.708310492,0.234955069
220218,0.274152728,-0.121894437,-0.069338407,0.528078284,2.096355118
220225,-0.026515718,0.224836381,0.206908625,0.583038455,1.887631741
220304,-0.012687065,0.061093552,0.081771081,0.763260649,1.60715899
220311,-1.255144419,0.68091076,0.490238916,0.686987859,1.024973849
220318,-0.628847855,0.641957994,0.417045257,0.10754773,1.105506532
220325,-0.386113085,0.242690076,0.150242567,-0.118033567,1.123711938
220401,0.520842283,0.24384619,0.147881482,0.647010111,0.869201282
220408,-0.640136017,-0.192260458,-0.168504009,0.421740505,0.811413948
220415,-0.768548682,0.442099006,0.25413034,-0.061845411,1.024973849
220422,-1.524829348,0.506862005,0.270657941,-0.082318093,1.180609533
220429,-0.402482229,1.247567393,0.638987318,0.487015252,1.085909486
220506,-0.436346715,-0.355404585,-0.331418926,-0.147221066,1.058008219
220513,1.235610799,0.612406908,0.301352056,0.418176718,0.603854075
220520,0.540694782,0.519988022,0.258852512,0.119169153,2.817384993
220527,-0.093458972,0.812393894,0.459544801,-0.08895998,2.706601222
220602,0.991906976,0.305851033,0.140798224,0.245013249,2.52251674
220610,0.874153898,0.812303056,0.528016288,0.727341137,1.602710301
220617,0.156609175,0.945520361,0.641348404,0.173984119,1.674664999
220624,0.308645789,0.779618077,0.523294116,0.35206704,1.596368067
220701,0.273628915,0.592245115,0.421767429,0.281282005,1.399850068
220708,-0.141021158,0.513274306,0.367462457,0.332582004,0.967323398
220715,-0.615150155,0.265300353,0.162047996,1.30194443,-1.272831215
220722,0.271088424,0.331797523,0.211630797,0.038501402,0.919460064
220729,0.082044448,0.20514942,0.117187367,0.111330576,0.696272743
220805,-0.027118103,0.490449323,0.308435313,0.441836405,0.584325469
220812,0.724605394,-0.062788135,-0.066977322,0.567743089,0.200460616
220819,-0.302407827,-0.021155663,-0.024477778,0.078765804,2.62481378
220826,-0.391613117,0.377377296,0.249408169,0.2307556,2.413033355
220902,-0.555068847,0.41339436,0.25413034,0.357767597,2.139381928
220909,0.781858114,0.203910727,0.114826281,0.568752015,1.233104067
220916,-1.673984993,0.153429858,0.069965652,0.141506972,1.167240652
220923,-0.258617092,0.281787357,0.121909538,0.395638617,1.302503621
220930,-0.781408282,0.390404218,0.180936682,0.550094397,1.047194482
221014,1.16591753,0.398600236,0.178575596,0.728146024,0.726432575
221021,-0.198483403,0.12078204,0.022743937,0.434703825,0.721299472
221028,-0.769229638,0.545406003,0.301352056,0.463292978,0.968806295
221104,1.637453654,0.37526326,0.190381025,0.883064959,0.625025273
221111,-0.048725374,0.077881972,0.013299594,0.61070255,0.326483999
221118,0.141340037,0.000736171,-0.036283207,0.898276457,2.725650738
