time,val,ml,mla,theta,cc
2015-12-31,"3,731.00",0.972071213,0.95150561,0.05245486,0
2015-12-25,"3,838.20",1,0.937148243,0.067682342,0
2015-12-18,"3,767.91",0.993288007,0.917726422,0.080274833,0
2015-12-11,"3,608.06",0.951147658,0.899442678,0.086262996,0
2015-12-04,"3,677.59",0.96947791,0.885056176,0.091115355,0
2015-11-27,"3,556.99",0.937685684,0.868592871,0.092315056,0
2015-11-20,"3,774.38",0.994993744,0.850940397,0.097981188,0
2015-11-13,"3,746.24",0.987575256,0.820230034,0.106139614,0
2015-11-06,"3,793.37",1,0.793999862,0.099723634,0
2015-10-30,"3,534.08",0.867569436,0.774294334,0.07581393,0
2015-10-23,"3,571.24",0.876692287,0.763022506,0.07055834,0
2015-10-16,"3,534.07",0.867566122,0.749580825,0.061749466,0
2015-10-09,"3,340.12",0.799782807,0.74251621,0.050924565,0
2015-09-30,"3,202.95",0.76693816,0.740713098,0.049061548,0
2015-09-25,"3,231.95",0.773883074,0.740945095,0.04920321,0
2015-09-18,"3,251.27",0.778509633,0.737152012,0.048176933,0
2015-09-11,"3,347.19",0.771918244,0.740006624,0.051733818,0
2015-09-02,"3,365.83",0.725856,0.748109839,0.063470641,0
2015-08-28,"3,342.29",0.62646939,0.770955173,0.095823822,0
2015-08-21,"3,589.54",0.672813188,0.802082724,0.104864654,0
2015-08-14,"4,073.54",0.763533668,0.827488422,0.107594145,0
2015-08-07,"3,906.94",0.7323075,0.84719395,0.116131525,0
2015-07-31,"3,816.70",0.71539212,0.867178515,0.115194475,0
2015-07-24,"4,176.28",0.782790741,0.887536424,0.107243487,0
2015-07-17,"4,151.50",0.778145461,0.905637196,0.10628331,0
2015-07-10,"4,106.56",0.769722119,0.924125074,0.101267485,0
2015-07-03,"3,885.92",0.728366085,0.943314898,0.09060598,1
2015-06-26,"4,336.19",0.812764977,0.965951057,0.06117437,1
2015-06-19,"4,637.05",0.869156825,0.981553976,0.038063681,1
2015-06-12,"5,335.12",1,0.992457574,0.014199092,0
2015-06-05,"5,230.55",1,0.992457574,0.014199092,0
2015-05-29,"4,840.83",0.977681575,0.99205665,0.014033724,0
2015-05-22,"4,951.34",1,0.990325971,0.016946065,0
2015-05-15,"4,617.47",0.972122278,0.988897715,0.016778019,0
2015-05-08,"4,558.40",0.959687032,0.988634443,0.017087121,0
2015-04-30,"4,749.89",1,0.98820405,0.017926943,0
2015-04-24,"4,702.64",1,0.980805769,0.028067479,0
2015-04-17,"4,596.14",1,0.976203569,0.029141274,0
2015-04-10,"4,344.42",1,0.974749845,0.028268304,0
2015-04-03,"4,170.54",1,0.974749845,0.028268304,0
2015-03-27,"3,971.70",1,0.974749845,0.028268304,0
2015-03-20,"3,892.57",1,0.974749845,0.028268304,0
2015-03-13,"3,617.66",0.995188914,0.974749845,0.028268304,0
2015-03-06,"3,478.52",0.956913422,0.975150769,0.028616513,0
2015-02-27,"3,572.84",0.982860936,0.978741317,0.028822548,0
2015-02-17,"3,522.32",0.968963007,0.980169572,0.029462786,0
2015-02-13,"3,469.83",0.954522322,0.982755988,0.029750474,0
2015-02-06,"3,312.42",0.911220622,0.986545795,0.028705182,1
2015-01-30,"3,434.39",0.944773607,0.993944076,0.016276534,1
2015-01-23,"3,571.73",0.982555309,0.998341225,0.005021349,1
2015-01-16,"3,635.15",1,0.999794949,0.000710316,0
2015-01-09,"3,546.72",1,0.997224705,0.008867273,0
