per,normcjl,normcje,jc,normccl,normper,normjc,time
-0.031061581,-0.768419244,-0.59,-19.644,-1.083990086,-1.534283477,0.353014577,160113
0.021322804,-0.798046519,-0.61,-46.8202,-1.177759014,1.072908925,0.043758203,160114
-0.043036241,-0.727263771,-0.57,-283.7076,-0.987729363,-2.130267234,-2.651943863,160118
0.03235056,-0.741183147,-0.57,-268.2947,-0.975246193,1.62176488,-2.476550042,160119
-0.016520994,-0.74960087,-0.58,-303.5031,-0.969512644,-0.810592477,-2.877210257,160120
-0.03032224,-0.711322586,-0.55,-207.8835,-0.941425511,-1.497486171,-1.789090106,160121
0.010000346,-0.721081702,-0.56,-200.8111,-0.929184263,0.50938553,-1.70860848,160122
0.004724138,-0.769993922,-0.59,-241.3261,-0.935909692,0.246786486,-2.169656088,160125
-0.071872917,-0.732882066,-0.57,-188.1069,-0.923232984,-3.565480467,-1.564038789,160126
-0.035413984,-0.693748402,-0.56,-233.7886,-0.907024217,-1.750904366,-2.083881774,160127
-0.025101843,-0.737975469,-0.59,-116.2325,-0.912540036,-1.237664864,-0.746131342,160128
0.02138917,-0.707881623,-0.57,-139.3254,-0.909346667,1.076211988,-1.008921082,160129
-0.008829607,-0.753061273,-0.59,-76.4771,-0.919676732,-0.427788981,-0.293727736,160201
0.044210298,-0.740230564,-0.58,-63.0266,-0.924031327,2.212028921,-0.140665393,160202
0.011049525,-0.751292191,-0.59,-53.3734,-0.943167349,0.561603601,-0.030815096,160203
0.029675154,-0.752711345,-0.58,-26.4853,-0.948634784,1.488608822,0.275162794,160204
-0.010218978,-0.809049825,-0.62,-47.1971,-0.985213375,-0.496938547,0.039469202,160205
0.001592526,-0.784768679,-0.61,-16.6398,-1.002970442,0.090924868,0.387201402,160215
0.040979425,-0.793789056,-0.61,-21.5341,-1.049854906,2.051227042,0.33150585,160216
0.011804271,-0.815776227,-0.62,-24.4123,-1.118875224,0.59916762,0.298752864,160217
0.004235152,-0.854773808,-0.65,-6.9305,-1.198032069,0.222449452,0.497690099,160218
-0.035403447,-0.742524539,-0.57,-211.7164,-0.84596313,-1.750379935,-1.83270727,160219
0.016731411,-0.735078839,-0.57,-234.5225,-0.829149558,0.844393405,-2.092233318,160222
-0.004003422,-0.744682431,-0.58,-225.4998,-0.825593306,-0.187587767,-1.989557908,160223
0.013907307,-0.69738377,-0.54,-229.2427,-0.821867709,0.703836587,-2.032150901,160224
-0.087819437,-0.654323131,-0.52,-265.0522,-0.819908141,-4.359145331,-2.439651439,160225
-0.002510244,-0.69036576,-0.55,-231.1376,-0.816593811,-0.113271683,-2.05371425,160226
-0.07408575,-0.646624705,-0.53,-275.2337,-0.821843516,-3.675614076,-2.555513619,160229
0.023835941,-0.641550742,-0.53,-246.2349,-0.82740772,1.197988788,-2.225516646,160301
0.061598482,-0.639665017,-0.52,-165.3482,-0.82740772,3.077445995,-1.305052137,160302
0.004818159,-0.665384757,-0.53,-173.177,-0.841487575,0.25146595,-1.394141351,160303
-0.033749083,-0.62240188,-0.5,-169.5614,-0.859413987,-1.668041558,-1.352996992,160304
0.023735478,-0.666045733,-0.53,-157.5482,-0.874776028,1.192988703,-1.216290657,160307
0.015226992,-0.632413722,-0.51,-103.3253,-0.866647452,0.769517853,-0.599251577,160308
-0.025927273,-0.691668272,-0.55,-117.0376,-0.879808003,-1.278746855,-0.75529312,160309
-0.023906597,-0.67627142,-0.54,-125.948,-0.880195078,-1.178176979,-0.856690593,160310
-0.005763689,-0.693165188,-0.55,-95.7818,-0.888372039,-0.27519698,-0.513408984,160311
0.036805457,-0.666551186,-0.53,-60.9904,-0.927200503,1.843486937,-0.117494095,160314
-0.007382311,-0.734767792,-0.57,-31.8012,-0.984027957,-0.355756463,0.214669569,160315
-0.008373163,-0.722170368,-0.57,2.5963,-1.045935771,-0.405071575,0.606102004,160316
0.035798611,-0.776487039,-0.6,14.025,-1.173864072,1.793375797,0.736156917,160317
0.009310987,-0.65183475,-0.52,-149.663,-0.805731518,0.475075849,-1.126559629,160318
0.022091807,-0.690579605,-0.54,-169.6805,-0.786522919,1.111182521,-1.354352311,160321
0.002161578,-0.723783927,-0.56,-153.8922,-0.781636097,0.11924682,-1.174686559,160322
0.001580044,-0.713694323,-0.55,-169.7664,-0.769757732,0.090303634,-1.355329825,160323
