time,val,cmax,avg,std
2016-07-07,"3,209.95",0.983583064,0.973208088,0.013751706
2016-07-08,"3,192.28",0.953226809,0.972424457,0.0144395
2016-07-11,"3,203.33",0.956223576,0.97202896,0.014782787
2016-07-12,"3,273.18",0.952092461,0.97110756,0.01544139
2016-07-13,"3,282.87",0.942672113,0.969860785,0.016694673
2016-07-14,"3,276.76",0.947451468,0.969134855,0.017358305
2016-07-15,"3,276.28",0.94815512,0.968530959,0.017886363
2016-07-18,"3,262.02",0.946220837,0.967583903,0.018562796
2016-07-19,"3,248.23",0.954640299,0.966916724,0.018786116
2016-07-20,"3,237.61",0.949571564,0.966367033,0.019139264
2016-07-21,"3,252.52",0.937338366,0.965273565,0.02016695
2016-07-22,"3,225.16",0.950552413,0.964762726,0.020414926
2016-07-25,"3,230.89",0.955383552,0.964520252,0.02050018
2016-07-26,"3,269.59",0.959949678,0.964440084,0.020515523
2016-07-27,"3,218.24",0.960720345,0.962786041,0.019322595
2016-07-28,"3,221.14",0.960805637,0.961277514,0.018147955
2016-07-29,"3,203.93",0.976188518,0.960435446,0.016948157
2016-08-01,"3,176.81",0.977004877,0.959525494,0.015401127
2016-08-02,"3,189.05",0.979874317,0.958964901,0.014360787
2016-08-03,"3,193.51",0.977787728,0.958472137,0.013466178
2016-08-04,"3,201.29",0.972405243,0.957913246,0.012571368
2016-08-05,"3,205.11",0.9757712,0.959040466,0.013127468
2016-08-08,"3,234.18",0.997048314,0.961081703,0.015606353
2016-08-09,"3,256.98",1,0.96347708,0.017691327
2016-08-10,"3,243.34",1,0.966343474,0.018755252
2016-08-11,"3,233.36",1,0.9689709,0.019629753
2016-08-12,"3,294.23",0.990222298,0.971074259,0.019535473
2016-08-15,"3,393.42",0.957214256,0.97162393,0.018945106
2016-08-16,"3,378.25",0.95408467,0.971596149,0.018971711
2016-08-17,"3,373.05",0.958478467,0.972041494,0.018526816
2016-08-18,"3,364.49",0.950415805,0.972695366,0.017436241
2016-08-19,"3,365.02",0.952104367,0.972772964,0.017335673
2016-08-22,"3,336.79",0.963508791,0.973179226,0.016998635
2016-08-23,"3,341.83",0.948376564,0.97260057,0.017656924
2016-08-24,"3,329.86",0.949231159,0.972026111,0.018241021
2016-08-25,"3,308.97",0.944159579,0.971193808,0.019137662
2016-08-26,"3,307.09",0.936167642,0.969192764,0.020622616
2016-08-29,"3,307.78",0.939774623,0.967331251,0.021540228
2016-08-30,"3,311.99",0.941088931,0.965391982,0.022090439
2016-08-31,"3,327.79",0.943381603,0.963671676,0.022411669
2016-09-01,"3,301.58",0.944507311,0.962276779,0.022705736
2016-09-02,"3,314.11",0.95307389,0.961141913,0.022562538
2016-09-05,"3,319.68",0.959792775,0.959279137,0.020920206
2016-09-06,"3,342.63",0.955773232,0.957067798,0.018597889
2016-09-07,"3,340.82",0.952832246,0.95470941,0.015619276
2016-09-08,"3,339.56",0.970769902,0.953247906,0.012137927
2016-09-09,"3,318.04",1,0.953736791,0.01379002
