time,per,normcjl,normcje,jc,normccl
160721,0.003708399,-0.70278822,-0.53,-132.7093,-0.79956251
160722,-0.007174059,-0.733076471,-0.55,-118.3254,-0.803602605
160725,0.001589724,-0.74835668,-0.57,-118.3831,-0.799852816
160726,0.017893453,-0.735662053,-0.55,-101.0743,-0.782071556
160727,-0.045050949,-0.619097,-0.47,-125.0885,-0.787006763
160728,-9.79E-05,-0.700824733,-0.54,-117.6883,-0.793320925
160729,-0.003604785,-0.756618879,-0.58,-99.8923,-0.798981897
160801,-0.013503202,-0.720751214,-0.55,-81.0782,-0.786232613
160802,0.008055236,-0.761187389,-0.58,-85.5088,-0.789982402
160803,0.003768885,-0.762412139,-0.58,-95.7885,-0.79228066
160804,0.009440696,-0.771335314,-0.59,-73.4309,-0.800820503
160805,-0.000715773,-0.777828431,-0.59,-56.0872,-0.810473187
160808,0.016452738,-0.722617499,-0.55,-42.5562,-0.799707663
160809,0.011084291,-0.76948847,-0.58,-44.3497,-0.810932839
160810,-0.000254526,-0.788034677,-0.59,-32.0681,-0.823077318
160811,-0.014428664,-0.730452008,-0.55,-30.3129,-0.836116908
160812,0.005846272,-0.726583354,-0.55,-38.6915,-0.870203704
160815,0.022606632,-0.699716626,-0.53,-37.3272,-0.93820795
160816,0.003902016,-0.773454326,-0.58,-10.6946,-1.015066537
160817,0.001329047,-0.798590852,-0.6,-17.5648,-1.110940186
160818,0.001387904,-0.84116548,-0.63,-5.808,-1.219780848
160819,-0.01462666,-0.771724124,-0.58,-113.9548,-0.749774983
160822,-0.01196089,-0.765289328,-0.58,-99.7544,-0.727518168
160823,-0.004057953,-0.755860701,-0.57,-120.0978,-0.72720367
160824,0.002787368,-0.764550591,-0.58,-120.8586,-0.729042276
160825,-0.005987261,-0.74464355,-0.56,-102.5704,-0.724034493
160826,0.002834756,-0.739141897,-0.56,-131.5335,-0.717260679
160829,0.005468454,-0.771121469,-0.58,-100.3291,-0.719825052
160830,0.002432859,-0.760818021,-0.57,-95.7543,-0.713994734
160831,0.003626044,-0.758251879,-0.57,-91.2103,-0.723018421
160901,-0.008281573,-0.77817836,-0.59,-102.4755,-0.72875197
160902,-0.005868283,-0.756832724,-0.57,-85.9538,-0.719800859
160905,0.005674253,-0.768866375,-0.58,-82.5923,-0.747210611
160906,0.020633591,-0.702885422,-0.53,-47.1722,-0.750549133
160907,-0.000995489,-0.767797149,-0.58,-65.3159,-0.802272035
160908,0.005156549,-0.793594652,-0.59,-40.7835,-0.826899684
160909,-0.001427463,-0.780064085,-0.58,-26.053,-0.870469818
160912,-0.031521739,-0.733581923,-0.55,-35.6364,-0.934579121
160913,0.003114968,-0.79062026,-0.6,-27.8315,-1.051475783
160914,-0.003125997,-0.827770996,-0.62,-8.158,-1.180129849
160919,-0.008772775,-0.789453832,-0.6,-120.381,-0.861131633
160920,-0.000257334,-0.823610736,-0.62,-124.4328,-0.845164787
160921,0.005121475,-0.801662446,-0.6,-95.5541,-0.838511935
160922,0.007659061,-0.782669108,-0.59,-92.4353,-0.833213846
160923,0.00092084,-0.833000483,-0.63,-71.9834,-0.835633065
160926,-0.015609882,-0.77362929,-0.58,-40.3157,-0.82254509
160927,0.003586525,-0.780025204,-0.59,-41.3093,-0.819666219
160928,0.003365277,-0.822308225,-0.62,-41.0838,-0.834302494
160929,0.009270136,-0.791281236,-0.6,1.0089,-0.838511935
160930,0.003513437,-0.830492662,-0.62,-9.4856,-0.861059056
161010,0.020047792,-0.7781978,-0.59,-3.0934,-0.859873639
161011,0.003904071,-0.828295889,-0.62,-31.6254,-0.877146862
161012,-0.000372197,-0.84365386,-0.63,-34.5379,-0.88629151
161013,0.001949861,-0.833097685,-0.62,-22.831,-0.899524638
161014,0.000402041,-0.803217684,-0.6,-2.4915,-0.925168359
161017,-0.005266438,-0.798999102,-0.6,4.8513,-0.975609075
161018,0.013527224,-0.782649667,-0.59,-3.8821,-1.029630235
161019,-0.001663791,-0.823474653,-0.62,-4.0574,-1.112028834
161020,0.001230959,-0.86315265,-0.65,0.7625,-1.210950699
161021,-0.016758903,-0.773532087,-0.58,-78.6807,-0.873614803
161024,0.012485706,-0.788248523,-0.59,-68.0661,-0.853801399
161025,-0.000184985,-0.849622084,-0.64,-76.3539,-0.863139585
161026,-0.002318034,-0.814415394,-0.61,-59.3898,-0.857188306
161027,-0.000216779,-0.823396891,-0.62,-59.1594,-0.861421939
161028,-0.005740134,-0.797638269,-0.6,-44.8349,-0.853414324
161031,-0.001747924,-0.823882903,-0.62,-44.6058,-0.867711908
161101,0.009095128,-0.811129955,-0.61,-42.95,-0.86386535
161102,-0.0093125,-0.821025154,-0.62,-55.1295,-0.879299967
161103,0.002983683,-0.785526857,-0.59,-48.7322,-0.87226004
161104,-0.004392797,-0.82709058,-0.62,-42.9928,-0.892799209
161107,-0.001997191,-0.829540079,-0.62,-59.8171,-0.905524301
161108,0.007605503,-0.81466812,-0.61,-34.1781,-0.924611939
161109,-0.008087432,-0.75292519,-0.57,-48.5718,-0.936006461
161110,0.013202031,-0.813346168,-0.61,-37.9651,-0.967311154
161111,0.010208746,-0.80846661,-0.6,-20.8864,-0.981342624
161114,0.004038502,-0.814512596,-0.61,-28.4071,-1.021187161
161115,0.00457451,-0.839163111,-0.63,-38.6616,-1.074458363
161116,0.004315418,-0.850399702,-0.63,-16.7878,-1.143454489
161117,0.001748146,-0.871706457,-0.65,-0.869,-1.226264355
161118,-0.01828856,-0.82417451,-0.62,-95.5265,-0.744162395
161121,0.001931567,-0.807261301,-0.6,-88.3399,-0.719244439
161122,0.011829653,-0.825826949,-0.62,-67.646,-0.716583298
161123,-0.001463013,-0.823027522,-0.61,-69.3733,-0.710583635
161124,-0.002077097,-0.846336644,-0.63,-75.4489,-0.71759937
161125,0.00298562,-0.789687117,-0.59,-88.0177,-0.717018758
161128,0.00494209,-0.827284985,-0.62,-74.4035,-0.729913195
161129,-0.006405564,-0.81964488,-0.61,-63.9949,-0.73792081
161130,-0.004164625,-0.808622134,-0.6,-54.3776,-0.75195228
161201,0.005295192,-0.833622578,-0.62,-52.4657,-0.772854332
161202,-0.020394839,-0.811460443,-0.61,-87.9745,-0.78277313
161205,-0.004821151,-0.831328602,-0.62,-56.0173,-0.801014041
161206,-0.00205243,-0.838754861,-0.63,-59.4897,-0.82718999
161207,0.00702771,-0.827868199,-0.62,-69.4247,-0.86330893
161208,-0.000184934,-0.843731622,-0.63,-38.6338,-0.903564734
161209,-0.005080545,-0.84161261,-0.63,-57.9155,-0.929643915
161212,-0.04800311,-0.783252322,-0.59,-74.4784,-0.981947429
161213,0.001861659,-0.813035121,-0.61,-47.1793,-1.042766595
161214,-0.002570694,-0.822813677,-0.62,-15.4989,-1.125697421
161215,0.001468992,-0.853335213,-0.64,-17.5981,-1.217603551
161216,-0.007736445,-0.827246104,-0.62,-114.1239,-0.878598394
161219,-0.000322685,-0.851585571,-0.64,-122.7324,-0.867905446
161220,-0.002037582,-0.842934562,-0.64,-116.8383,-0.860333291
161221,0.012115206,-0.836460886,-0.63,-91.0058,-0.857188306
161222,-0.000513232,-0.844723085,-0.64,-106.7879,-0.852954673
161223,-0.003124094,-0.85321857,-0.64,-72.1966,-0.85259179
161226,0.003858645,-0.83080371,-0.63,-74.9546,-0.84221334
161227,0.000933076,-0.87433092,-0.66,-72.8594,-0.849398421
161228,-0.000450306,-0.872017504,-0.66,-52.2395,-0.851237027
161229,0.000225232,-0.848902786,-0.64,-36.8076,-0.845551862
161230,-0.002028789,-0.855920796,-0.64,-53.0256,-0.85568839
170103,0.009337455,-0.847678037,-0.64,-44.9626,-0.856196426
170104,0.014575153,-0.83620816,-0.63,-27.6694,-0.863937927
170105,-0.000314515,-0.872056385,-0.65,-40.2841,-0.876130791
170106,-0.003249724,-0.865349423,-0.65,-32.6168,-0.88396906
170109,0.00589915,-0.861383568,-0.65,-41.6176,-0.884622249
170110,-0.003814267,-0.867429553,-0.65,-49.3283,-0.896815113
170111,-0.009654472,-0.843090086,-0.63,-34.3638,-0.898919833
170112,-0.01157348,-0.850049774,-0.64,-34.451,-0.913483532
170113,-0.012559886,-0.822191582,-0.62,-16.2575,-0.930418065
170116,-0.030841401,-0.794313949,-0.6,-19.8414,-0.972270553
170117,0.013289365,-0.813773859,-0.62,-17.0657,-1.029194776
