,time,normper,normcjl,normcje,normjc,normccl,val,cmax,avg,std,rc,rc2,rc3
548,170814,0.12555532,-0.779558633,-0.59,0.326650142,-1.021985503,3694.68,0.972628754,0.972794763,0.005242091,0,0,0.031668517
549,170815,0.191511616,-0.780005764,-0.59,0.471879854,-1.094320151,3706.06,0.989223898,0.97381047,0.006309145,0,0,-2.443029644
550,170816,0.444803892,-0.813462811,-0.61,0.573894105,-1.21141035,3701.42,0.994032432,0.975380984,0.007221022,0,0,-2.582937427
551,170817,-0.596354049,-0.74378817,-0.56,-0.119375155,-0.722970036,3721.28,0.988918889,0.976494538,0.00751464,0,0,-1.653352752
552,170818,0.564251337,-0.780200168,-0.59,0.06469567,-0.711381977,3724.67,0.992862788,0.977202146,0.00835376,0,0,-1.874681844
553,170821,-0.198854594,-0.779966883,-0.59,0.121581537,-0.710680404,3740.99,0.986521252,0.977504227,0.008584563,0,0,-1.050376807
554,170822,-0.347843316,-0.743943693,-0.56,0.148887071,-0.69418133,3752.3,0.982763011,0.977999278,0.00858825,0,0,-0.554680299
555,170823,-0.321274875,-0.760040402,-0.57,0.23528044,-0.697882735,3756.09,0.984566542,0.978282201,0.008712075,0,0,-0.721336919
556,170824,0.592182641,-0.729421663,-0.55,0.356582106,-0.704148513,3734.65,0.987139227,0.978720841,0.008934547,0,0,-0.942228713
557,170825,0.658436018,-0.723978332,-0.54,0.499356084,-0.695681246,3795.75,0.984751367,0.979252874,0.008962346,0,0,-0.613510445
558,170828,-0.236027318,-0.78649888,-0.59,0.367663635,-0.732017915,3842.71,0.981177346,0.980018039,0.008395331,0,0,-0.138089485
559,170829,0.345859965,-0.785857345,-0.59,0.3505156,-0.732598528,3834.54,0.978697326,0.980420927,0.008110072,0,0,0.212526076
560,170830,0.170271695,-0.788190201,-0.59,0.505708219,-0.745299428,3834.3,0.970104432,0.980388601,0.008151826,0,0,1.261578674
561,170831,0.5056633,-0.753819452,-0.56,0.600401924,-0.742275404,3822.09,0.964834713,0.980148088,0.00854688,0,0,1.79169192
562,170901,0.227508763,-0.788229082,-0.59,0.393567194,-0.771233455,3830.54,0.969833789,0.980187234,0.008495013,0,0,1.218767456
563,170904,0.234408237,-0.78399106,-0.59,0.546297251,-0.77725731,3845.62,0.970509307,0.980033124,0.008647554,0,0,1.101330784
564,170905,0.215468057,-0.784924202,-0.59,0.422731029,-0.793949921,3857.05,0.967329954,0.979879048,0.008853019,0,0,1.417493115
565,170906,-0.366777573,-0.785837904,-0.59,0.471906027,-0.801497885,3849.45,0.96340986,0.979156326,0.009585821,0,1,1.642683045
566,170907,-0.050613373,-0.758387962,-0.57,0.337781742,-0.824746579,3829.87,0.945632024,0.977330277,0.012126702,1,0,2.613921991
567,170908,0.917151277,-0.743438241,-0.55,0.715074928,-0.878622586,3825.99,0.957903061,0.976641999,0.012834922,0,0,1.459996265
568,170911,0.05659279,-0.725494688,-0.54,0.606009829,-0.951320117,3825.65,0.960853502,0.976053236,0.013290691,0,0,1.143637611
