,per,normcjl,normcje,jc,normccl,y1o,y2o,y3o,y4o,time,y1,y2,y3,y4
1574,-0.008995374,-0.098792284,-0.02,11.6923,0.477301273,0.100562337,0.074501002,-0.652444367,-0.035942317,211105,0.004594387,0.473043052,-0.756753432,0.355400412
1575,0.001623423,-0.157424739,-0.07,-4.7715,0.361033609,-0.039416473,0.176244816,-0.171824292,-0.305995375,211108,-0.135384423,0.574786866,-0.276133357,0.085347354
1576,0.006137572,-0.174162983,-0.08,-10.5539,0.273627226,-0.100207336,0.2106924,0.055213211,-0.385912661,211109,-0.196175286,0.60923445,-0.049095854,0.005430068
1577,-0.002976359,0.052687852,0.1,-6.7313,0.293634168,0.220918047,0.011884301,-0.234330684,-0.133654147,211110,0.124950097,0.410426351,-0.338639749,0.257688582
1578,0.010261456,-0.133104712,-0.05,-5.8589,0.120950316,-0.133997124,0.286231609,0.298328671,-0.323259499,211111,-0.229965074,0.684773659,0.194019606,0.06808323
1579,0.007034194,-0.279608087,-0.16,8.3873,0.077186645,-0.323772274,0.281575909,0.127067612,-0.175569202,211112,-0.419740224,0.680117959,0.022758547,0.215773527
1580,-0.008529445,-0.174007459,-0.08,6.5871,-0.031726594,-0.139133723,-0.203544737,-0.355339171,0.179822008,211115,-0.235101673,0.194997313,-0.459648236,0.571164737
1581,-0.006321937,-0.279005433,-0.16,8.8613,-0.242561529,-0.343547866,-0.233089767,-0.189061359,0.245103993,211116,-0.439515816,0.165452283,-0.293370424,0.636446722
1582,0.005187336,-0.381301182,-0.25,-10.3344,-0.475846817,-0.57492626,-0.187090917,0.383126021,-0.011218701,211117,-0.67089421,0.211451133,0.278816956,0.380124028
1583,-0.001383048,-0.352898656,-0.22,1.1173,-0.89335563,-0.6479567,-0.479198967,0.362293779,0.441607375,211118,-0.74392465,-0.080656917,0.257984714,0.832950104
1584,0.014951185,0.208872581,0.24,0.1241,2.312714336,0.920577389,1.541920202,-0.685659385,-1.485045994,211119,0.824609439,1.940462252,-0.78996845,-1.093703265
1585,0.006601759,-0.029098202,0.05,-44.8736,2.211349061,0.741389655,0.907928353,-0.913047294,-1.707999778,211122,0.645421705,1.306470403,-1.017356359,-1.316657049
1586,0.000470588,-0.216562646,-0.1,-36.3791,2.114265803,0.509984162,0.752344791,-1.163783609,-1.538863658,211123,0.414016212,1.150886841,-1.268092674,-1.147520929
1587,-0.001412468,-0.178906457,-0.07,-34.7117,2.119854198,0.564347305,0.718395363,-1.229238028,-1.483638158,211124,0.468379355,1.116937413,-1.333547093,-1.092295429
1588,-0.001274591,-0.300506592,-0.17,-15.5423,2.015682629,0.349719042,0.814832898,-1.245813975,-1.317419912,211125,0.253751092,1.213374948,-1.35012304,-0.926077183
1589,-0.002112167,-0.072605972,0.01,-23.4622,2.087194742,0.660064011,0.774918498,-1.229678722,-1.332074234,211126,0.564096061,1.173460548,-1.333987787,-0.940731505
1590,0.003215434,0.020863804,0.09,-6.6978,2.058599574,0.702239965,1.039092507,-1.021424175,-1.247641927,211129,0.606272015,1.437634557,-1.12573324,-0.856299198
1591,0.00213261,0.053757078,0.12,-31.5552,2.006586365,0.780358611,0.793241208,-0.965395822,-1.381515657,211130,0.684390661,1.191783258,-1.069704887,-0.990172928
1592,0.008008587,-0.028398345,0.05,-5.637,1.886326989,0.559659965,1.091430495,-0.761699623,-1.242598685,211201,0.463692015,1.489972545,-0.866008688,-0.851255956
