time,normper,normcjl,normcje,normjc,normccl
190517,0.057050678,0.693387394,0.19,-0.545011485,0.709643065
190520,0.935293239,0.740588853,0.23,-0.63278976,0.712836434
190521,-0.291652571,0.536716653,0.12,-0.408842271,0.693482682
190522,-0.728416252,0.570037617,0.12,-0.387531551,0.752487433
190523,-0.105133475,0.527968442,0.09,-0.210430778,0.763349727
190524,1.306933332,0.708745365,0.21,-0.10562054,0.762551384
190527,-0.232667715,0.393051586,0.04,-0.182302492,0.668685687
190528,-0.223584366,0.430007918,0.06,-0.457443733,0.709376951
190529,-0.145765939,0.68077053,0.18,-0.081222512,0.763083612
190530,-0.253292226,0.646769149,0.17,-0.597831393,0.664500439
190531,-0.241969507,0.72721381,0.21,-0.172399897,0.795380186
190603,-0.365797445,0.410373044,0.03,0.023357856,0.693748796
190604,-0.14644421,0.45040097,0.05,-0.129261818,0.694111679
190605,-1.4042424,0.651609826,0.14,-0.185703878,0.743221825
190606,0.298020347,0.671128057,0.15,-0.188889049,0.634260201
190610,2.179411285,0.923057097,0.31,0.293518213,0.637018111
190611,-0.556679913,0.485840945,0.08,0.04066293,0.432836028
190612,0.172127634,0.558256693,0.12,0.132174878,0.44014207
190613,-0.741800462,0.393284872,0.02,0.27696761,0.338123605
190614,0.296197108,0.326467979,-0.02,0.462549657,0.186511151
190617,0.076074422,0.350690804,0,0.504332416,0.038285603
190618,0.737461328,0.356075814,0.02,0.531989583,-0.287438042
190619,0.879647629,0.026793147,-0.16,0.570482478,-0.798788359
190620,0.24175858,0.661019013,0.21,0.049619874,0.537709171
190621,-0.004343663,0.129361062,-0.1,0.01207263,0.409079298
190624,-0.473821834,0.549177994,0.13,-0.040087257,0.504227181
190625,0.084555251,0.157821909,-0.09,0.048612773,0.3390671
190626,0.349009039,0.543190329,0.13,0.004349244,0.527524259
190627,-0.283721158,0.400166798,0.04,0.229706674,0.442730634
190628,1.426917899,0.57800821,0.17,0.004592769,0.507565703
190701,-0.195984434,0.080895973,-0.12,-0.003920368,0.403611863
190702,-0.258837993,0.113750366,-0.11,0.165492296,0.402402253
190703,-0.074215746,0.231579049,-0.04,0.109754639,0.423425266
190704,0.464032292,0.115208401,-0.1,0.284555579,0.363743134
190705,-1.99500743,0.495036287,0.09,0.016896475,0.490945668
190708,-0.048108926,0.057334124,-0.16,-0.017729605,0.277667322
190709,-0.257376236,-0.014673374,-0.2,0.188909395,0.307302755
190710,-0.029805957,0.378218508,0.02,0.076449738,0.401555527
190711,0.54400105,0.285273625,-0.03,0.365260247,0.239685584
190712,0.699481925,0.703710283,0.21,0.35665266,0.360186882
190715,0.217978974,0.053115542,-0.15,0.45313525,-0.001365396
190716,-0.093725748,0.09446542,-0.12,0.375307364,-0.304638689
190717,-0.688459969,-0.156277751,-0.27,0.623114621,-0.856607693
190718,-0.896846641,0.37085057,0,0.082964603,0.337252686
190722,-1.080358908,0.028698313,-0.18,0.035815188,0.210630764
190723,0.455637268,0.249211555,-0.05,-0.022322443,0.299633831
190724,0.270457194,0.06876512,-0.15,0.061703953,0.260248945
190725,0.236999433,0.069717703,-0.15,0.133774861,0.2789737
190726,-0.08491753,-0.034988664,-0.21,-0.026774173,0.178697073
190729,0.421859881,0.251408328,-0.04,0.060858443,0.341365358
190730,-0.070027069,-0.01245716,-0.19,0.244236246,0.241330653
190731,-0.387239334,0.019833459,-0.18,0.241209252,0.282699298
190801,-0.563186549,0.12842792,-0.13,0.226975552,0.259668333
190802,-0.508686753,0.158657849,-0.11,0.269480921,0.240895194
190805,-1.145787241,0.591072205,0.1,0.306145102,0.465084217
190806,-0.248482562,0.037874214,-0.19,0.180952725,0.254563781
190807,0.113003222,-0.016014766,-0.22,0.127049471,0.183946779
190808,-0.521909109,0.159902039,-0.13,0.237981975,0.158303057
190809,1.052770174,0.199813323,-0.11,0.357555068,0.007077678
190812,0.060933367,-0.07418065,-0.25,0.444684702,-0.193886843
190813,0.412213729,-0.078982446,-0.25,0.441818161,-0.412390702
190814,0.282650298,-0.179217505,-0.31,0.522498932,-0.866163608
190815,-0.351093921,0.312179234,-0.04,-0.081899603,1.008464995
190816,1.765082214,0.648518791,0.16,0.334894718,1.213566381
190819,-0.087221502,0.274328641,-0.03,0.112196717,1.017730603
190820,0.083604586,0.009860498,-0.18,0.122265455,1.023730266
190821,0.017837666,0.180781103,-0.09,-0.000554259,1.028665473
190822,0.030166991,0.321860588,-0.01,0.051926535,1.046011273
190823,-0.335643344,0.382961982,0.02,0.116153431,1.044511358
190826,0.730488443,0.707656698,0.22,-0.12583995,1.154222939
190827,0.003514786,0.032450324,-0.16,0.094132618,1.017174183
190828,-0.033108024,0.199463394,-0.07,0.087415195,0.978152181
190829,-0.330449752,0.492742312,0.09,0.263684114,1.048527261
190830,1.413563104,0.633219142,0.18,0.224972729,1.106346595
190902,0.188705212,0.153331161,-0.08,0.119315843,0.93804153
190903,1.013320553,0.591985907,0.17,0.630426064,1.081428639
190904,0.751549739,0.907640805,0.38,0.433114985,1.104507988
190905,0.146925639,0.308563307,0.03,0.539711832,0.858255688
190906,1.12492229,0.463562168,0.13,0.407461779,0.877125596
190909,0.034475466,0.331794668,0.05,0.475220927,0.676862648
190910,-0.148577818,0.530145774,0.17,0.584621726,0.67567723
190911,0.254808083,0.299523489,0.03,0.549114859,0.397781545
190912,-0.085265226,0.358622515,0.07,0.429306207,0.359848191
190916,-1.007028428,0.347891376,0.05,0.45763705,0.076291533
190917,-0.027137118,-0.003864473,-0.16,0.46005068,-0.251101372
190918,0.447404844,-0.156083346,-0.25,0.507497104,-0.781055484
190919,0.118023613,0.250066935,0,-0.073049629,0.488405488
190920,-0.098734443,0.363482632,0.05,0.211451397,0.596254271
190923,0.106794114,0.567315952,0.18,-0.032731433,0.643453233
190924,-0.919139904,0.423748087,0.08,0.128094126,0.577190825
190925,-1.147890339,0.485063326,0.11,0.382643842,0.616527326
190926,0.143622875,0.191045671,-0.06,0.268965422,0.493969692
190927,-0.893437269,0.256443409,-0.03,0.042815965,0.518113498
190930,-0.188769864,0.171410797,-0.08,0.290236314,0.461721503
191008,0.394992071,0.286187327,-0.02,0.313077601,0.532217544
191009,0.659654497,0.310274068,0.01,0.313010461,0.433973061
191010,0.436951365,0.36462962,0.04,0.577507152,0.419989975
191011,0.567594714,0.461540359,0.11,0.256432984,0.229307135
191014,-0.555811917,0.099072811,-0.11,0.471830921,-0.006663486
191015,-0.339236519,0.134007334,-0.09,0.379051278,-0.24952888
191016,-0.010111954,-0.191834369,-0.28,0.557734964,-0.824794964
191017,0.139577386,0.074383415,-0.14,0.025377749,0.285239478
