time,normval,normbuy,normsell,normavg,normper
210705,-0.32757913,-0.321933723,-0.351111304,-0.336644682,-0.157770129
210712,-0.520501923,-0.529592072,-0.554147105,-0.542037223,-1.417757212
210720,-0.540840764,-0.519703579,-0.544290998,-0.532162582,0.002831661
210727,-0.501545333,-0.473623203,-0.50112125,-0.487529203,0.888001079
210803,-0.621208805,-0.620170667,-0.64778012,-0.634266374,0.120117833
210810,-0.57243508,-0.57409029,-0.603427639,-0.588843024,0.336895037
210818,-0.641745111,-0.633421247,-0.655270761,-0.644536001,-0.768805231
210825,-0.653000586,-0.623532754,-0.652313929,-0.638216231,-0.462085656
210901,-0.699009809,-0.692752204,-0.716772868,-0.704968807,-1.096150163
210908,-0.602054751,-0.579034537,-0.603427639,-0.591410431,0.499299968
210916,-0.523661355,-0.514759333,-0.544290998,-0.529595175,0.3600438
210926,-0.616469658,-0.598811522,-0.628067906,-0.613529627,-0.030016756
211008,-0.562561856,-0.535525168,-0.564988823,-0.550529415,0.534079684
211015,-0.524056284,-0.509815087,-0.534434892,-0.522287941,0.223825832
211022,-0.512405879,-0.480149608,-0.504866571,-0.492664016,-0.105455358
211029,-0.497398579,-0.480149608,-0.504866571,-0.492664016,-0.134237872
211123,-0.622196128,-0.608700015,-0.637924013,-0.623404269,0.126165599
211130,-0.621011341,-0.653198233,-0.682276494,-0.667840155,0.690526036
211207,-0.673734356,-0.64330974,-0.672420387,-0.657965514,0.316942732
211215,-0.716979076,-0.717473436,-0.745355578,-0.731630339,0.125816746
211223,-0.758446616,-0.747138915,-0.770981456,-0.759279335,-0.469812386
211230,-0.848292952,-0.833762112,-0.863825982,-0.848941079,-0.298371425
220107,-0.799716691,-0.791637133,-0.82026199,-0.806085135,-0.17736059
220114,-0.83980198,-0.821302611,-0.84983031,-0.835709059,-0.072267935
220121,-1.05819769,-1.062581837,-1.082434431,-1.072700454,-0.270473789
220128,-1.079918782,-1.068514932,-1.096232981,-1.082575095,-0.577963146
220209,-1.056223045,-1.038849454,-1.061736607,-1.050581257,0.272960138
220216,-0.961045168,-0.958752662,-0.986830195,-0.973164068,0.068255838
220223,-0.874160799,-0.856505646,-0.884326684,-0.87066529,-0.604023768
220302,-0.861128143,-0.846023843,-0.871710867,-0.859210706,0.359529983
220309,-0.825387073,-0.806469872,-0.83504615,-0.820897097,0.870816902
220316,-0.892722459,-0.944908772,-0.973031646,-0.959142077,0.070322417
220323,-0.866854613,-0.846023843,-0.869542524,-0.858025749,-0.088504308
220330,-0.88126952,-0.865800829,-0.889254737,-0.877775032,-0.404463078
220407,-0.95097448,-0.944908772,-0.97066618,-0.958154613,-0.096630875
220414,-0.978027113,-0.954797265,-0.979733798,-0.967436776,-0.644155777
220421,-0.934979857,-0.925131786,-0.953319432,-0.939392794,-0.361711772
