time,feature_0,feature_1
190424,1.250879525,0.306361605
190425,1.069896052,-0.799053407
190426,0.9051926,-0.686260037
190428,0.925346823,0.15831508
190429,0.918075831,-0.541803457
190430,0.769211587,-0.855309843
190505,0.777076817,0.0275357
190506,0.575059151,-1.130997666
190507,0.480495447,-0.505841736
190508,0.399492028,-0.843385128
190509,0.283476912,-0.457210346
190510,0.355921542,0.321174249
190513,0.238090996,-0.735752072
190514,0.325814229,0.382721494
190515,0.317327591,0.006164663
190517,0.265707129,0.112633611
190520,0.385357175,0.628888647
190521,0.451583509,0.451351952
190522,0.491667555,0.214547168
190523,0.381228899,-0.386574895
190524,0.38805352,-0.193034636
190527,0.687523622,1.360316541
190528,0.576012487,0.578032638
190530,0.484577257,0.049603339
190531,0.461144797,0.01196323
190603,0.336999899,-0.956478682
190604,0.224809755,-0.353744621
190606,0.153246823,-0.633365624
190610,0.225644032,0.474576444
190612,0.302587607,-0.014191269
190613,0.173471435,-0.757206412
190614,0.104958835,-0.440226035
190617,0.003696773,-0.823128709
190619,-0.083543254,-0.46052842
190620,-0.160890442,-0.780110956
190621,-0.123976545,0.421711319
190624,-0.020624532,0.568091587
190625,-0.005945505,0.188388038
190626,0.033649717,0.373068466
190627,0.068869328,0.133248488
190628,-0.018389625,-0.302957601
190701,-0.099576884,-0.831337511
190702,-0.278297492,-1.131479484
190703,-0.341582457,-0.736351163
190704,-0.337330405,0.036200218
190705,-0.195527802,0.599100071
190708,-0.101763719,0.798491787
190709,-0.126071736,0.086586034
190710,-0.133652339,-0.23657995
190711,-0.183106336,-0.314510647
190712,-0.170421266,0.189927919
190716,-0.117823145,-0.084503359
190717,-0.143205077,-0.164484316
190718,-0.196173595,-0.370519763
190719,-0.233506972,-0.108141215
190722,-0.286261383,-0.3477403
190723,-0.237805113,0.089017804
190724,-0.148179132,0.577851371
190726,-0.09774203,0.199104361
190729,-0.018251347,0.54258563
190730,-0.033027917,0.124655544
190731,-0.107209556,-0.510380987
190801,-0.085954444,0.02721177
190802,-0.213151404,-0.571334101
190805,-0.307028166,-0.701363349
190806,-0.276006146,-0.059758074
190808,-0.306344069,0.052095652
190809,-0.30627885,-0.222756923
190813,-0.170686281,0.17444913
190815,-0.124728155,-0.162551175
190816,-0.085797324,0.462579813
190820,-0.088941065,0.078125842
190821,-0.037302192,0.411450712
190822,-0.027972999,0.055635889
190823,-0.025159337,0.068836081
190826,-0.031261607,-0.14858754
190827,0.064282892,0.673629923
190828,0.032356905,-0.092916674
190902,0.1383854,1.617389209
190904,-0.008121286,-0.223254867
190906,-0.162103003,-0.255470084
190911,0.01783274,0.213798317
190912,0.106846156,0.349312127
190916,0.093338599,0.184932404
190920,0.23645417,0.154676758
190923,0.243692554,-0.062629415
190924,0.221083842,-0.282041113
190925,0.188066539,0.012964754
190927,0.200162738,0.018012253
190930,0.261812235,0.424843516
191008,0.16592647,-0.497682592
191010,0.220166032,0.233781217
191012,0.298291824,0.316109541
191014,0.325441544,0.165340131
191015,0.377299771,0.184799766
191016,0.352870879,-0.1603976
191017,0.320366172,-0.101448254
191018,0.40424365,0.246161755
191023,0.491380619,-0.451488634
191024,0.470630276,-0.136781786
191025,0.54957178,0.104201707
191028,0.764290963,1.129216683
191030,1.024368443,0.910365855
191031,0.899607451,-0.269167027
191101,0.830322262,-0.618443548
191105,0.685618761,-0.842919496
191107,0.71159182,0.200639966
191108,0.741303659,0.428275891
191113,0.693954162,0.177981603
191114,0.725923966,0.070502524
191119,0.12860397,-1.883917093
191120,-0.003533612,-1.062181913
191121,-0.00428912,-0.322018478
191122,0.013699625,0.319839798
191125,0.161210916,0.635561322
191126,0.153174328,0.360892745
191127,0.181986036,-0.062319518
191128,0.185636697,0.104039466
191129,0.139248041,-0.253899052
191203,0.170769807,-0.13700714
191204,0.116509485,-0.458299928
191205,0.135529613,-0.022905526
191206,0.216081488,0.273833934
191209,0.264244298,0.508914286
191210,0.18886475,-0.214324615
191211,0.119434884,-0.408389149
191216,0.190780486,0.271393945
191217,0.290284542,0.708542703
191220,0.047839917,-0.585663359
191223,-0.051571303,-0.707366722
191224,-0.092476548,-0.613570055
191225,-0.062664564,0.395548217
191226,-0.067311971,-0.11385682
191227,-0.027593307,0.212644844
191230,-0.003619944,0.158684241
191231,0.051514174,0.864106891
200102,0.03232373,-0.648859993
200103,-0.002167389,0.094567589
200106,-0.111352571,-0.957831174
200107,-0.02807994,0.336295829
200108,-0.02574112,0.201806799
200109,-0.036783653,0.045037911
200110,-0.080229252,-0.428465765
200113,-0.017167436,0.314084331
200115,0.019344257,0.023084738
200116,-0.02520544,-0.171666034
200117,-0.072569483,-0.282629331
200120,-0.140630374,-0.593758011
200121,-0.160951634,-0.223614645
200122,-0.119866385,0.180944899
200123,-0.238294591,-0.520304195
200203,-0.790625218,-4.869593846
200204,-0.700573251,0.369978806
200205,-0.774973641,-0.073777285
200206,-0.823994018,-0.51663297
200207,-1.000897699,-0.873518879
200210,-1.083967803,-0.947719397
200212,-0.929239141,0.316412102
200213,-1.009124664,-0.456154686
200214,-0.975201487,-0.012604838
200217,-0.975796386,0.154037351
200219,-0.933356436,0.161752611
200220,-0.872435236,0.433874985
200221,-1.018664519,-0.777184628
200225,-1.151028427,-0.265648344
200226,-1.25105311,-0.458873251
200228,-1.45209345,-0.933825115
200303,-1.421727346,0.368691478
200306,-1.775454308,-0.891703609
200310,-1.602913045,2.016704004
200311,-1.550952073,1.283298267
