time,0,1,2,3,4,5,6,7,8,9,10,11
2205,-1.760045929,-0.479003491,-2.201563784,-0.390477096,-1.69652897,0.787848294,-1.869573866,0.079558977,-1.842998299,0.554628766,-2.199840457,0.346544228
2206,-2.201563784,-0.390477096,-1.69652897,0.787848294,-1.869573866,0.079558977,-1.842998299,0.554628766,-2.199840457,0.346544228,-1.991527211,0.088926736
2207,-1.69652897,0.787848294,-1.869573866,0.079558977,-1.842998299,0.554628766,-2.199840457,0.346544228,-1.991527211,0.088926736,-2.640318129,-1.258056555
2208,-1.869573866,0.079558977,-1.842998299,0.554628766,-2.199840457,0.346544228,-1.991527211,0.088926736,-2.640318129,-1.258056555,-2.992316377,-0.067304657
2209,-1.842998299,0.554628766,-2.199840457,0.346544228,-1.991527211,0.088926736,-2.640318129,-1.258056555,-2.992316377,-0.067304657,-2.439247335,0.373249408
2210,-2.199840457,0.346544228,-1.991527211,0.088926736,-2.640318129,-1.258056555,-2.992316377,-0.067304657,-2.439247335,0.373249408,-2.616714642,0.673561705
2211,-1.991527211,0.088926736,-2.640318129,-1.258056555,-2.992316377,-0.067304657,-2.439247335,0.373249408,-2.616714642,0.673561705,-1.627920542,0.268517445
2212,-2.640318129,-1.258056555,-2.992316377,-0.067304657,-2.439247335,0.373249408,-2.616714642,0.673561705,-1.627920542,0.268517445,-1.964152807,-0.500556095
2301,-2.992316377,-0.067304657,-2.439247335,0.373249408,-2.616714642,0.673561705,-1.627920542,0.268517445,-1.964152807,-0.500556095,-1.4156211,0.348009606
2302,-2.439247335,0.373249408,-2.616714642,0.673561705,-1.627920542,0.268517445,-1.964152807,-0.500556095,-1.4156211,0.348009606,-0.894852645,-0.080033437
2303,-2.616714642,0.673561705,-1.627920542,0.268517445,-1.964152807,-0.500556095,-1.4156211,0.348009606,-0.894852645,-0.080033437,-0.952375806,0.225089058
