,time,val,per,buy
643,171016,3.5407,0.007512165,3.1
644,171017,3.5488,0.002287683,3.1
645,171018,3.5376,-0.003155996,3.24
646,171019,3.5284,-0.002600633,3.1
647,171020,3.5317,0.000935268,3.1
648,171023,3.5429,0.003171277,3.0
649,171024,3.5427,-5.65e-05,3.2
650,171025,3.591,0.013633669,3.4
651,171026,3.6025,0.003202451,3.44
652,171027,3.5992,-0.000916031,3.29
653,171030,3.6375,0.010641254,3.44
654,171031,3.6096,-0.007670103,2.7
655,171101,3.589,-0.005707004,3.44
656,171102,3.5903,0.000362218,3.1
657,171103,3.5907,0.000111411,2.86
658,171106,3.5866,-0.001141839,2.9
659,171107,3.5828,-0.001059499,3.0
660,171108,3.5906,0.002177068,3.2
661,171109,3.5972,0.001838133,3.4
662,171110,3.6214,0.006727455,3.44
663,171113,3.6546,0.009167725,3.44
664,171114,3.6524,-0.000601981,3.4
665,171115,3.6273,-0.006872194,3.44
666,171116,3.6126,-0.004052601,3.1
667,171117,3.6059,-0.00185462,3.4
668,171120,3.5978,-0.002246319,3.25
669,171121,3.5958,-0.000555895,3.44
670,171122,3.6173,0.005979198,3.44
671,171123,3.6203,0.000829348,3.08
672,171124,3.6066,-0.003784217,3.44
673,171127,3.6075,0.000249543,3.44
674,171128,3.6183,0.002993763,3.45
675,171129,3.6327,0.00397977,3.44
676,171130,3.6258,-0.001899414,3.44
677,171201,3.6175,-0.00228915,3.0
678,171204,3.6143,-0.000884589,2.9
679,171205,3.6088,-0.001521733,3.0
680,171206,3.6268,0.004987808,3.2
681,171207,3.6396,0.003529282,3.0
682,171208,3.6655,0.007116167,3.0
683,171211,3.6949,0.008020734,3.2
