,val,buy,sell,avg,per,feature_0,feature_1,feature_2,feature_3,feature_4
179,2.3168,2.2938,2.3521,2.3229,0.003465003,-1.2649424701090677,0.25316286841159713,-0.038818352630806296,-0.05029206646642996,-6.833356994027004e-05
180,2.3082,2.2975,2.3441,2.3208,-0.003712017,-1.2853709773076485,-0.24791790927831048,-0.019965036636179826,-0.04932159632472603,5.002151894052211e-06
181,2.3086,2.2925,2.3429,2.3177,0.000173295,-1.2911104315560227,0.023531983867392095,-0.027263282503960654,-0.0478566580337834,7.3179422228851e-06
182,2.3083,2.2938,2.3441,2.3189,-0.000129949,-1.287991784689675,0.002310419073451378,-0.025702977942673125,-0.049902342647618655,-7.323664288147921e-05
183,2.3079,2.2913,2.3416,2.3164,-0.000173288,-1.2958252246164808,-0.0006196122435654372,-0.02774043749332517,-0.04693560903282949,-7.343821285108373e-05
184,2.3256,2.305,2.3563,2.3306,0.00766931,-1.2301353128469206,0.5464200029073578,-0.031259840004467854,-0.04376671388200708,-7.27102027773032e-05
185,2.3311,2.305,2.3613,2.3331,0.002364981,-1.2214790007831713,0.17585896450748478,-0.040551112988541804,-0.042803731415217025,-7.006605351331704e-05
186,2.3323,2.3013,2.3571,2.3292,0.000514778,-1.233397754367079,0.04678749045591164,-0.045157016616402534,-0.034941578367139445,9.646753267778897e-06
187,2.3278,2.305,2.3563,2.3306,-0.001929426,-1.2355076921814447,-0.12393093944851384,-0.034539771702858324,-0.03946704797305105,-7.343059540618665e-05
188,2.3195,2.2938,2.3413,2.3175,-0.003565598,-1.2837795809750574,-0.23764767402526327,-0.03502656294544376,-0.02950750596926004,-7.641398217359449e-05
189,2.3106,2.2888,2.3413,2.315,-0.003837034,-1.300189807132833,-0.25644516084566094,-0.03467654846682516,-0.04242584201043047,-7.260945971274599e-05
190,2.3182,2.2913,2.3425,2.3169,0.003289189,-1.281557156190674,0.24109711496523983,-0.037827938549573614,-0.03420989886231855,7.010924973483802e-06
191,2.2946,2.2694,2.3254,2.2974,-0.010180312,-1.3731996418535939,-0.6986586780767026,-0.04112624331961062,-0.042079110414213125,9.765460570211139e-06
192,2.2915,2.2746,2.3354,2.305,-0.001350998,-1.3468180418952986,-0.08231698802191524,-0.03526336945270642,-0.06204015311055282,1.4334537806993487e-05
193,2.2964,2.285,2.3319,2.3084,0.002138337,-1.3290481853138534,0.16119234793245207,-0.020198098314434035,-0.04948659424297212,-7.516664523874358e-05
194,2.3198,2.2925,2.3463,2.3194,0.010189862,-1.2671542139191683,0.7229080656245315,-0.03911704706336122,-0.038383080264745614,9.134142844336814e-06
195,2.3343,2.2909,2.345,2.3179,0.006250539,-1.2602831990870467,0.44775704782285286,-0.05532150801737762,-0.015614009579905597,-7.301803487200684e-05
196,2.3439,2.3103,2.3683,2.3393,0.004112582,-1.1892100199857403,0.2975851896893052,-0.048665153467710665,-0.03500535875678561,1.1109149020716948e-05
197,2.3442,2.3175,2.3663,2.3419,0.000127992,-1.1843299421550828,0.019212740117680968,-0.03630443896230767,-0.030523032116045946,5.205665173392084e-06
198,2.3374,2.3075,2.3588,2.3331,-0.002900776,-1.2193913103688292,-0.19192622305332685,-0.041484677326674324,-0.029335175498923106,-7.41561883612398e-05
199,2.2815,2.255,2.315,2.285,-0.023915462,-1.4336571163259766,-1.6573058780272594,-0.0467794582009779,-0.04449353727872789,1.1669235875389851e-05
200,2.2607,2.2344,2.2873,2.2608,-0.009116809,-1.5141224742536998,-0.6227831622495754,-0.04013285212568979,-0.03601128040850203,-7.304136331984698e-05
201,2.2412,2.2044,2.2608,2.2326,-0.008625647,-1.616610943925295,-0.5872858741420499,-0.052635005937374524,-0.026504921888129074,9.024169814987139e-06
202,2.2232,2.1978,2.253,2.2254,-0.008031412,-1.6552331893457026,-0.5453929651241206,-0.040806365921090826,-0.040863280262489574,9.310064940338626e-06
203,2.2321,2.2159,2.265,2.2404,0.004003239,-1.592454717015718,0.2944274278577788,-0.026344272961826568,-0.046221968471300154,-7.400445596103997e-05
204,2.2473,2.2213,2.2725,2.2469,0.006809731,-1.5560968313678583,0.4900745669939898,-0.03681294474744762,-0.03590903866432442,7.284819862697169e-06
205,2.2703,2.2429,2.2979,2.2704,0.010234504,-1.4611073068159488,0.7282077433798395,-0.04020940350086949,-0.04003010673693601,9.955344262980538e-06
206,2.2758,2.2494,2.305,2.2772,0.002422587,-1.4416788075468112,0.18236314636676704,-0.040568131388450224,-0.04136069862559259,1.0047649486667289e-05
207,2.3041,2.2694,2.3238,2.2966,0.012435188,-1.3484162061416907,0.8806768883027873,-0.04646557547748936,-0.029120686881469782,8.965694320762586e-06
208,2.3002,2.2738,2.33,2.3019,-0.001692635,-1.3476739374409714,-0.10612218755542129,-0.041371604672012674,-0.041744873951711045,1.024187375400313e-05
209,2.3331,2.3096,2.3638,2.3367,0.014303104,-1.199555413777384,1.0094187484516077,-0.035160409449003616,-0.04485284179350439,9.989699042668256e-06
210,2.3193,2.3,2.35,2.325,-0.005914877,-1.2637122970883894,-0.40198880709531726,-0.0307834889570095,-0.04198968646310512,6.413767056146859e-06
211,2.3527,2.3291,2.3781,2.3536,0.014400897,-1.1300700589530983,1.015475185958245,-0.0316803990223799,-0.0369745766748442,6.398414609943649e-06
212,2.3468,2.3238,2.3688,2.3463,-0.002507757,-1.17079705788065,-0.16504242503947164,-0.03048695464147694,-0.02974705205235888,2.7951309518279636e-06
213,2.2994,2.2622,2.3216,2.2919,-0.020197716,-1.39263038713292,-1.398057159412544,-0.05620283583294933,-0.02897688902440403,1.0438016936809937e-05
214,2.2958,2.2678,2.3233,2.2956,-0.000696439,-1.369990941869867,-0.03628432570099481,-0.04233023048029677,-0.03859242125770028,9.028163840099171e-05
215,2.322,2.3075,2.3588,2.3331,0.011412144,-1.223342388650396,0.8077350269350227,-0.024922786019346114,-0.05283504567408186,-7.193184972529207e-05
216,2.3362,2.3025,2.3475,2.325,0.006115418,-1.2375692002720289,0.43803684165163487,-0.03983223886709325,-0.015733215928047484,2.2395717791621542e-06
217,2.31,2.285,2.335,2.31,-0.011214793,-1.3214841495944274,-0.7714856015643974,-0.03697331141361765,-0.033289442095862085,5.590531532840649e-06
218,2.2917,2.2781,2.3296,2.3039,-0.007922078,-1.3551267511767495,-0.5411783909580857,-0.02661398148726696,-0.05203311295821504,8.85038922427093e-05
219,2.2893,2.2694,2.3163,2.2928,-0.001047257,-1.3847640619372754,-0.06064171794988164,-0.028830893071565226,-0.03710208254064633,-7.614290019828293e-05
220,2.2955,2.27,2.3204,2.2952,0.002708251,-1.36868908745482,0.20149774057656739,-0.03609802776556087,-0.03491601825904893,6.561265378147531e-06
221,2.3084,2.2879,2.3375,2.3127,0.005619691,-1.3018353085895527,0.4040741067066945,-0.030323297511746176,-0.04113900586193213,6.638919130242761e-06
222,2.3263,2.3004,2.3513,2.3258,0.007754289,-1.243593777022701,0.5525296190179778,-0.03610346306954554,-0.03570740854135983,-7.348449379660413e-05
223,2.3093,2.275,2.33,2.3025,-0.007307742,-1.34132620346214,-0.4983440830057859,-0.04884918233005692,-0.02811648959395856,8.36514735149766e-06
224,2.2925,2.2775,2.325,2.3013,-0.007274932,-1.3615228952477096,-0.4958948336052982,-0.025203854113267924,-0.0441766963327344,8.56464763241647e-05
225,2.3033,2.2788,2.3275,2.3031,0.004711014,-1.33591657860182,0.3410096338238333,-0.033733811778166645,-0.03401917519406043,-7.503106195392203e-05
226,2.3024,2.28,2.33,2.305,-0.000390744,-1.3352877382470272,-0.015338906282490725,-0.03317976367303904,-0.03830534221400987,6.4142533451559195e-06
227,2.3159,2.295,2.3413,2.3181,0.005863447,-1.2781433399389837,0.42083919189561386,-0.028453879012106446,-0.03566323001198417,-7.628362527542973e-05
228,2.3228,2.2948,2.3467,2.3207,0.002979403,-1.2659078718599748,0.21928769863726916,-0.039396281433065006,-0.033640671128063945,-7.324845402043498e-05
229,2.3196,2.2875,2.3388,2.3131,-0.001377648,-1.2949994966748601,-0.08468360877204222,-0.04349832556362626,-0.026420612676668,-7.428354563885262e-05
230,2.3137,2.2925,2.3375,2.315,-0.002543542,-1.2962002134848127,-0.16613787420348997,-0.028882033173712466,-0.032276504706233264,2.9644192110165682e-06
231,2.2798,2.2663,2.3163,2.2913,-0.014651856,-1.4093790373990611,-1.0106050307595973,-0.02638882680269478,-0.04907314945746681,6.498910474906729e-06
232,2.2972,2.2788,2.3291,2.3039,0.007632248,-1.3372745419922385,0.5450296146009902,-0.028579041706756795,-0.045369901145984534,-7.319284778148824e-05
233,2.3034,2.2791,2.3316,2.3054,0.002698938,-1.3307905046606834,0.20041246230071247,-0.036299702358136565,-0.03976223376316183,8.874431439534017e-05
234,2.3014,2.2794,2.3303,2.3049,-0.000868282,-1.3370463810941668,-0.04867569439097115,-0.03344223904578686,-0.04017494513793944,8.766882556934344e-05
235,2.3099,2.2813,2.33,2.3056,0.003693404,-1.322797553162797,0.2698045046131215,-0.03779531430602939,-0.02811153070735366,-7.547442056707784e-05
236,2.3101,2.284,2.3363,2.3101,8.66e-05,-1.3121123233049676,0.017752301776708015,-0.03822765421095914,-0.03655362645886133,-7.294629522045423e-05
237,2.3033,2.2713,2.3275,2.2994,-0.002943596,-1.3530019641941582,-0.1934117264428385,-0.046925671971463634,-0.033692461362075085,9.643787532787974e-06
