time,val,cmax,avg,std,rc,rc2,rc3
160721,3252.52,0.937338366,0.965273565,0.02016695,0,0,1.385197064
160722,3225.16,0.950552413,0.964762726,0.020414926,0,0,0.696074673
160725,3230.89,0.955383552,0.964520252,0.02050018,0,0,0.445688814
160726,3269.59,0.959949678,0.964440084,0.020515523,0,0,0.218878424
160727,3218.24,0.960720345,0.962786041,0.019322595,0,0,0.106905684
160728,3221.14,0.960805637,0.961277514,0.018147955,0,0,0.026001707
160729,3203.93,0.976188518,0.960435446,0.016948157,0,0,-0.929485825
160801,3176.81,0.977004877,0.959525494,0.015401127,0,0,-1.134941787
160802,3189.05,0.979874317,0.958964901,0.014360787,0,0,-1.456007695
160803,3193.51,0.977787728,0.958472137,0.013466178,0,0,-1.434378117
160804,3201.29,0.972405243,0.957913246,0.012571368,0,0,-1.152778001
160805,3205.11,0.9757712,0.959040466,0.013127468,0,0,-1.274482944
160808,3234.18,0.997048314,0.961081703,0.015606353,0,0,-2.304613499
160809,3256.98,1,0.96347708,0.017691327,0,0,-2.064453475
160810,3243.34,1,0.966343474,0.018755252,0,0,-1.794512029
160811,3233.36,1,0.9689709,0.019629753,0,0,-1.580717778
160812,3294.23,0.990222298,0.971074259,0.019535473,0,0,-0.980167621
160815,3393.42,0.957214256,0.97162393,0.018945106,0,0,0.760601403
160816,3378.25,0.95408467,0.971596149,0.018971711,0,0,0.923031089
160817,3373.05,0.958478467,0.972041494,0.018526816,0,0,0.732075441
160818,3364.49,0.950415805,0.972695366,0.017436241,0,0,1.277773191
160819,3365.02,0.952104367,0.972772964,0.017335673,0,0,1.192258089
160822,3336.79,0.963508791,0.973179226,0.016998635,0,0,0.568894799
160823,3341.83,0.948376564,0.97260057,0.017656924,0,0,1.371926706
160824,3329.86,0.949231159,0.972026111,0.018241021,0,0,1.249653273
160825,3308.97,0.944159579,0.971193808,0.019137662,0,0,1.412619181
160826,3307.09,0.936167642,0.969192764,0.020622616,0,0,1.601403125
160829,3307.78,0.939774623,0.967331251,0.021540228,0,0,1.279309983
160830,3311.99,0.941088931,0.965391982,0.022090439,0,0,1.100161516
160831,3327.79,0.943381603,0.963671676,0.022411669,0,0,0.905335161
160901,3301.58,0.944507311,0.962276779,0.022705736,0,0,0.782598183
160902,3314.11,0.95307389,0.961141913,0.022562538,0,0,0.357584931
160905,3319.68,0.959792775,0.959279137,0.020920206,0,0,-0.024552286
160906,3342.63,0.955773232,0.957067798,0.018597889,0,0,0.069608244
160907,3340.82,0.952832246,0.95470941,0.015619276,0,0,0.120182551
160908,3339.56,0.970769902,0.953247906,0.012137927,0,0,-1.443574072
160909,3318.04,1,0.953736791,0.01379002,0,0,-3.354832597
160912,3262.6,1,0.955876078,0.017244052,0,0,-2.558790827
160913,3260.33,1,0.958171844,0.019852204,0,0,-2.106977971
160914,3238.73,0.999842497,0.960240046,0.02193158,0,0,-1.805727229
160919,3263.12,1,0.962719256,0.023508451,0,0,-1.585844325
160920,3257.4,0.998252873,0.965026681,0.024648878,0,0,-1.347979898
160921,3266.64,0.999760667,0.966839275,0.025835728,0,0,-1.274258358
160922,3291.12,0.996179655,0.969229429,0.026245743,0,0,-1.026841777
160923,3275.67,0.989930085,0.971264376,0.026191308,0,0,-0.712668081
160926,3220.28,0.989367654,0.973524779,0.025674663,0,0,-0.617062599
160927,3240.75,0.989574078,0.976195101,0.024326713,0,0,-0.549970601
160928,3230.89,0.990833565,0.978748048,0.022943263,0,0,-0.526756686
160929,3244.39,0.995560382,0.981471621,0.021420061,0,0,-0.657736754
160930,3253.28,0.987719251,0.983688503,0.019476644,0,0,-0.206952898
161010,3293.87,0.991467796,0.986036527,0.017202418,0,0,-0.315727062
161011,3306.56,0.993134149,0.98803954,0.015400171,0,0,-0.330815061
161012,3300.01,1,0.990049902,0.014087101,0,0,-0.706326902
161013,3302.65,1,0.99226124,0.011690743,0,0,-0.661956226
161014,3305.85,1,0.994619628,0.007221309,0,0,-0.745068798
161017,3277.88,1,0.996081133,0.004635208,0,1,-0.845456633
161018,3321.33,0.982317325,0.995196999,0.005461198,1,1,2.358397288
